candidate_id,scope,days,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf,primary_trade_count,primary_wins,primary_losses,primary_realized_wr,primary_trades_per_day,secondary_trade_count,secondary_wins,secondary_losses,secondary_realized_wr,secondary_trades_per_day,delta_wr,delta_trades_per_day,delta_pf,delta_mean_r,delta_cost_stress_pf
A0_BASELINE_075,2018_2020_H1,548.0,41,24,17,0.5853658536585366,0.5446728155456196,-0.9637564332344837,0.5651560879522552,0.6389139126106793,-0.05354805895214276,0.7978674182855368,-0.0807734583388134,-3.3117117918913492,-7.7022791080041095,13.07214757309487,16.383859364986222,0.07481751824817519,0.4634146341463415,19,15,5,2,0,26.29268292682927,0.7457796360235494,-0.10422314141873364,-4.273148798168079,0.7125001894031621,41,24,17,0.5853658536585366,0.07481751824817519,0,0,0,,0.0,-0.007588075880758827,0.007299270072992692,-0.02661766909139507,-0.01296443563542575,-0.026301705965940392
A0_BASELINE_075,2018_2020_H2,548.0,457,265,192,0.5798687089715536,0.6409281328705979,-1.0139155391219692,0.6321316797507897,0.6126956620024006,-0.03282695303084693,0.8724734121560378,-0.054323475493894255,-24.825828300709674,-49.51106078985202,169.84595521070844,194.67178351141808,0.833941605839416,0.5776805251641138,264,191,1,1,0,8.25382932166302,0.831247611358299,-0.07323483977012771,-33.468321774948365,0.8989361879655493,457,265,192,0.5798687089715536,0.833941605839416,0,0,0,,0.0,0.00043107689568411267,0.018248175182481785,0.00032314072057582077,0.00018170325867437886,3.0262121863522395e-05
A0_BASELINE_075,2021_2022_H1,365.0,10,4,6,0.4,0.5969470709072473,-1.0213973142942316,0.584441590508516,0.6311371816988576,-0.23113718169885755,0.3896277270056773,-0.37405956021364006,-3.7405956021364006,-5.539075621418558,2.387788283628989,6.128383885765389,0.0273972602739726,0.4,4,6,0,0,0,10.7,0.3694681602514152,-0.3945091293863005,-3.945091293863005,0.3886381654686592,10,4,6,0.4,0.0273972602739726,0,0,0,,0.0,0.0,0.0,-0.004913999100356448,-0.0030114872901290113,-0.004848951420195424
A0_BASELINE_075,2021_2022_H2,365.0,14,10,4,0.7142857142857143,0.6539732645111872,-1.0173907809617193,0.6427945650274118,0.6087188387936466,0.10556687549206767,1.6069864125685296,0.17644068009035685,2.470169521264996,-2.0291886640842565,6.539732645111872,4.069563123846877,0.038356164383561646,0.7142857142857143,10,4,0,0,0,6.071428571428571,1.5240659886392098,0.15494109207858384,2.1691752891001737,1.6025397568615531,14,10,4,0.7142857142857143,0.038356164383561646,0,0,0,,0.0,0.01904761904761898,0.002739726027397256,0.18696402292579095,0.0389614142063002,0.18216397403177176
A0_BASELINE_075,2023_2024_H1,365.5,21,9,12,0.42857142857142855,0.6886547948113474,-0.9685546071094063,0.7110128739840459,0.5844491384050945,-0.15587770983366595,0.5332596554880344,-0.2583220062862262,-5.42476213201075,-6.145795738888401,6.197893153302126,11.622655285312876,0.057455540355677154,0.42857142857142855,9,11,0,1,0,10.523809523809524,0.5033940437824426,-0.28160044223518466,-5.913609286938877,0.5297648079256833,21,9,12,0.42857142857142855,0.057455540355677154,0,0,0,,0.0,0.08994708994708994,0.016415868673050615,0.22516307818044257,0.14527472934891894,0.21242841444905247
A0_BASELINE_075,2023_2024_H2,365.5,146,78,68,0.5342465753424658,0.6571149585070564,-1.0207360933127687,0.6437657713997448,0.6083591819462529,-0.07411260660378716,0.7384372083702954,-0.12434991494327315,-18.15508758171788,-20.153416799403438,51.2549667635504,69.41005434526828,0.399452804377565,0.5342465753424658,78,68,0,0,0,7.342465753424658,0.7005191118426024,-0.1452689660962006,-21.209269050045286,0.7236826339795381,146,78,68,0.5342465753424658,0.399452804377565,0,0,0,,0.0,-0.003520318359225505,0.09028727770177841,-0.009380677647270574,-0.005427955595380743,-0.008905611485530374
A0_BASELINE_075,ALL_EARLY,1278.5,72,37,35,0.5138888888888888,0.5853467300007024,-0.975282815316128,0.6001815276638174,0.624929098800402,-0.1110402099115132,0.6344776149588927,-0.17329263230609027,-12.4770695260385,-12.477069526038497,21.65782901002599,34.13489853606448,0.05631599530700039,0.4444444444444444,32,32,5,3,0,19.52777777777778,0.5959287452811599,-0.19627568581902724,-14.131849378969962,0.6252982840473613,72,37,35,0.5138888888888888,0.05631599530700039,0,0,0,,0.0,0.02269647696476973,0.007821666014861159,0.06874317830206578,0.0386439471696787,0.06405025030410616
A0_BASELINE_075,ALL_LATE,1278.5,617,353,264,0.5721231766612642,0.6448743756922682,-1.0157250037141412,0.6348907168123207,0.611661678494194,-0.03953850183292973,0.8489258448285956,-0.06565761160642229,-40.51074636116255,-50.414222424758954,227.64065461937068,268.15140098053325,0.48259679311693393,0.5705024311183144,352,263,1,1,0,7.988654781199352,0.8078636282485585,-0.08510278044715312,-52.50841553589348,0.873418423373235,617,353,264,0.5721231766612642,0.48259679311693393,0,0,0,,0.0,-0.0017752190213247143,0.03441533046538914,-0.005845150589315895,-0.0028498241663717783,-0.005809383411815472
S4_CONFIRMATION,2018_2020_H1,548.0,45,26,19,0.5777777777777777,0.5470006150194072,-0.970537958912913,0.5636055859495651,0.639547472192425,-0.0617696944146473,0.7712497491941417,-0.09373789397423915,-4.218205228840762,-9.31338080121966,14.222015990504588,18.440221219345347,0.08211678832116788,0.4444444444444444,20,17,6,2,0,26.733333333333334,0.719477930057609,-0.11795367841857322,-5.307915528835795,0.6992045610404812,41,24,17,0.5853658536585366,0.07481751824817519,4,2,2,0.5,0.0072992700729927005,-0.007588075880758827,0.007299270072992692,-0.02661766909139507,-0.01296443563542575,-0.026301705965940392
S4_CONFIRMATION,2018_2020_H2,548.0,467,271,196,0.5802997858672377,0.6401683503530705,-1.0141317886710706,0.6312476913793957,0.6130276875085673,-0.03272790164132955,0.8727965528766136,-0.054141772235219876,-25.284207633847682,-53.03694564705132,173.4856229456821,198.7698305795298,0.8521897810218978,0.5781584582441114,270,195,1,1,0,8.314775160599572,0.8312778734801626,-0.07316979416474485,-34.170293874935844,0.9175811953154276,449,264,185,0.5879732739420935,0.8193430656934306,18,7,11,0.3888888888888889,0.032846715328467155,0.00043107689568411267,0.018248175182481785,0.00032314072057582077,0.00018170325867437886,3.0262121863522395e-05
