candidate_id,scope,scenario,extra_cost_r,trades,wins,losses,realized_wr,pf,mean_r,pnl_r,max_dd_r
A0_BASELINE_075,2018_2020,R0_STANDARD,0.0,498,289,209,0.5803212851405622,0.8666818867805465,-0.05650108452329521,-28.137540092601014,-49.51106078985202
A0_BASELINE_075,2018_2020,R1_EXTRA_COST,0.01,498,289,209,0.5803212851405622,0.8446248318957911,-0.06650108452329521,-33.11754009260102,-51.671060789852035
A0_BASELINE_075,2018_2020,R2_EXTRA_COST,0.02,498,289,209,0.5803212851405622,0.8229961377053244,-0.07650108452329524,-38.09754009260103,-53.83106078985203
A0_BASELINE_075,2021_2022,R0_STANDARD,0.0,24,14,10,0.5833333333333334,0.8754233494571074,-0.05293442003630857,-1.2704260808714056,-6.853080533085027
A0_BASELINE_075,2021_2022,R1_EXTRA_COST,0.01,24,14,10,0.5833333333333334,0.853327456486079,-0.0629344200363085,-1.510426080871404,-6.953080533085028
A0_BASELINE_075,2021_2022,R2_EXTRA_COST,0.02,24,14,10,0.5833333333333334,0.8316565684309369,-0.0729344200363086,-1.7504260808714063,-7.053080533085026
A0_BASELINE_075,2023_2024,R0_STANDARD,0.0,167,87,80,0.5209580838323353,0.7090082533186111,-0.1411967048726265,-23.579849713728628,-24.300883320606264
A0_BASELINE_075,2023_2024,R1_EXTRA_COST,0.01,167,87,80,0.5209580838323353,0.6914455133196191,-0.15119670487262651,-25.24984971372863,-25.960883320606293
A0_BASELINE_075,2023_2024,R2_EXTRA_COST,0.02,167,87,80,0.5209580838323353,0.674222837008772,-0.16119670487262652,-26.91984971372863,-27.620883320606282
A0_BASELINE_075,2018_2020_H1,R0_STANDARD,0.0,41,24,17,0.5853658536585366,0.7978674182855368,-0.0807734583388134,-3.3117117918913492,-7.7022791080041095
A0_BASELINE_075,2018_2020_H1,R1_EXTRA_COST,0.01,41,24,17,0.5853658536585366,0.7751755823319787,-0.0907734583388134,-3.7217117918913494,-7.972279108004109
A0_BASELINE_075,2018_2020_H1,R2_EXTRA_COST,0.02,41,24,17,0.5853658536585366,0.7529450767481531,-0.10077345833881343,-4.131711791891351,-8.24227910800411
A0_BASELINE_075,2018_2020_H2,R0_STANDARD,0.0,457,265,192,0.5798687089715536,0.8724734121560378,-0.054323475493894255,-24.825828300709674,-49.51106078985202
A0_BASELINE_075,2018_2020_H2,R1_EXTRA_COST,0.01,457,265,192,0.5798687089715536,0.8504727523416441,-0.06432347549389424,-29.395828300709667,-51.671060789852035
A0_BASELINE_075,2018_2020_H2,R2_EXTRA_COST,0.02,457,265,192,0.5798687089715536,0.8288976719673874,-0.07432347549389426,-33.965828300709674,-53.831060789852025
A0_BASELINE_075,2021_2022_H1,R0_STANDARD,0.0,10,4,6,0.4,0.3896277270056773,-0.37405956021364006,-3.7405956021364006,-5.539075621418558
A0_BASELINE_075,2021_2022_H1,R1_EXTRA_COST,0.01,10,4,6,0.4,0.3793863352642692,-0.3840595602136402,-3.8405956021364016,-5.609075621418559
A0_BASELINE_075,2021_2022_H1,R2_EXTRA_COST,0.02,10,4,6,0.4,0.3693416291029147,-0.39405956021364014,-3.9405956021364013,-5.6790756214185585
A0_BASELINE_075,2021_2022_H2,R0_STANDARD,0.0,14,10,4,0.7142857142857143,1.6069864125685296,0.17644068009035685,2.470169521264996,-2.0291886640842565
A0_BASELINE_075,2021_2022_H2,R1_EXTRA_COST,0.01,14,10,4,0.7142857142857143,1.5670114927164744,0.1664406800903568,2.3301695212649953,-2.0491886640842565
A0_BASELINE_075,2021_2022_H2,R2_EXTRA_COST,0.02,14,10,4,0.7142857142857143,1.5278072548597805,0.15644068009035683,2.1901695212649956,-2.0691886640842565
A0_BASELINE_075,2023_2024_H1,R0_STANDARD,0.0,21,9,12,0.42857142857142855,0.5332596554880344,-0.2583220062862262,-5.42476213201075,-6.145795738888401
A0_BASELINE_075,2023_2024_H1,R1_EXTRA_COST,0.01,21,9,12,0.42857142857142855,0.520145827744903,-0.2683220062862262,-5.63476213201075,-6.345795738888401
A0_BASELINE_075,2023_2024_H1,R2_EXTRA_COST,0.02,21,9,12,0.42857142857142855,0.5072973131700846,-0.2783220062862262,-5.84476213201075,-6.545795738888401
A0_BASELINE_075,2023_2024_H2,R0_STANDARD,0.0,146,78,68,0.5342465753424658,0.7384372083702954,-0.12434991494327315,-18.15508758171788,-20.153416799403438
A0_BASELINE_075,2023_2024_H2,R1_EXTRA_COST,0.01,146,78,68,0.5342465753424658,0.7201444946084269,-0.13434991494327314,-19.61508758171788,-21.583416799403437
A0_BASELINE_075,2023_2024_H2,R2_EXTRA_COST,0.02,146,78,68,0.5342465753424658,0.7022033149939642,-0.14434991494327318,-21.075087581717884,-23.013416799403437
A0_BASELINE_075,ALL_EARLY,R0_STANDARD,0.0,72,37,35,0.5138888888888888,0.6344776149588927,-0.17329263230609027,-12.4770695260385,-12.477069526038497
A0_BASELINE_075,ALL_EARLY,R1_EXTRA_COST,0.01,72,37,35,0.5138888888888888,0.6173087326257625,-0.18329263230609028,-13.197069526038499,-13.197069526038497
A0_BASELINE_075,ALL_EARLY,R2_EXTRA_COST,0.02,72,37,35,0.5138888888888888,0.6004848553920664,-0.19329263230609028,-13.9170695260385,-13.917069526038507
A0_BASELINE_075,ALL_LATE,R0_STANDARD,0.0,617,353,264,0.5721231766612642,0.8489258448285956,-0.06565761160642229,-40.51074636116255,-50.414222424758954
A0_BASELINE_075,ALL_LATE,R1_EXTRA_COST,0.01,617,353,264,0.5721231766612642,0.8276136310380168,-0.07565761160642229,-46.680746361162555,-56.274222424758975
A0_BASELINE_075,ALL_LATE,R2_EXTRA_COST,0.02,617,353,264,0.5721231766612642,0.806712959185967,-0.0856576116064223,-52.85074636116256,-62.13422242475893
A0_BASELINE_075,pooled,R0_STANDARD,0.0,689,390,299,0.5660377358490566,0.8247098331219882,-0.07690539315994348,-52.98781588720106,-59.57958015890608
A0_BASELINE_075,pooled,R1_EXTRA_COST,0.01,689,390,299,0.5660377358490566,0.8038569781472815,-0.08690539315994349,-59.87781588720106,-65.74958015890616
A0_BASELINE_075,pooled,R2_EXTRA_COST,0.02,689,390,299,0.5660377358490566,0.7834086437865514,-0.0969053931599435,-66.76781588720107,-71.91958015890614
S4_CONFIRMATION,2018_2020,R0_STANDARD,0.0,512,297,215,0.580078125,0.8641756556920022,-0.05762190012243837,-29.502412862688445,-53.0369456470513
S4_CONFIRMATION,2018_2020,R1_EXTRA_COST,0.01,512,297,215,0.580078125,0.8421662806023007,-0.06762190012243838,-34.62241286268845,-55.24694564705135
S4_CONFIRMATION,2018_2020,R2_EXTRA_COST,0.02,512,297,215,0.580078125,0.8205841561593176,-0.0776219001224384,-39.74241286268846,-57.45694564705133
S4_CONFIRMATION,2021_2022,R0_STANDARD,0.0,25,15,10,0.6,0.947079636707354,-0.021587162423513398,-0.539679060587835,-6.092218639900166
S4_CONFIRMATION,2021_2022,R1_EXTRA_COST,0.01,25,15,10,0.6,0.9233168455954631,-0.03158716242351339,-0.7896790605878348,-6.202218639900168
S4_CONFIRMATION,2021_2022,R2_EXTRA_COST,0.02,25,15,10,0.6,0.9000111214620811,-0.041587162423513416,-1.0396790605878354,-6.312218639900166
S4_CONFIRMATION,2023_2024,R0_STANDARD,0.0,206,109,97,0.529126213592233,0.7328282487222391,-0.1275850257462444,-26.282515303726342,-27.003548910603993
S4_CONFIRMATION,2023_2024,R1_EXTRA_COST,0.01,206,109,97,0.529126213592233,0.7147007363688406,-0.1375850257462444,-28.342515303726348,-29.053548910603997
S4_CONFIRMATION,2023_2024,R2_EXTRA_COST,0.02,206,109,97,0.529126213592233,0.6969238000765446,-0.14758502574624444,-30.402515303726354,-31.103548910603998
S4_CONFIRMATION,2018_2020_H1,R0_STANDARD,0.0,45,26,19,0.5777777777777777,0.7712497491941417,-0.09373789397423915,-4.218205228840762,-9.31338080121966
S4_CONFIRMATION,2018_2020_H1,R1_EXTRA_COST,0.01,45,26,19,0.5777777777777777,0.7494283522520191,-0.10373789397423913,-4.668205228840761,-9.58338080121966
S4_CONFIRMATION,2018_2020_H1,R2_EXTRA_COST,0.02,45,26,19,0.5777777777777777,0.7280475521945647,-0.11373789397423918,-5.118205228840763,-9.853380801219659
S4_CONFIRMATION,2018_2020_H2,R0_STANDARD,0.0,467,271,196,0.5802997858672377,0.8727965528766136,-0.054141772235219876,-25.284207633847682,-53.03694564705132
S4_CONFIRMATION,2018_2020_H2,R1_EXTRA_COST,0.01,467,271,196,0.5802997858672377,0.8507735121014826,-0.06414177223521987,-29.95420763384768,-55.24694564705135
S4_CONFIRMATION,2018_2020_H2,R2_EXTRA_COST,0.02,467,271,196,0.5802997858672377,0.8291763946180708,-0.07414177223521991,-34.624207633847696,-57.45694564705133
S4_CONFIRMATION,2021_2022_H1,R0_STANDARD,0.0,10,4,6,0.4,0.3847137279053209,-0.3770710475037691,-3.7707104750376907,-5.539075621418558
S4_CONFIRMATION,2021_2022_H1,R1_EXTRA_COST,0.01,10,4,6,0.4,0.37451998025831024,-0.3870710475037692,-3.8707104750376917,-5.609075621418559
S4_CONFIRMATION,2021_2022_H1,R2_EXTRA_COST,0.02,10,4,6,0.4,0.3645220031881408,-0.39707104750376915,-3.9707104750376914,-5.6790756214185585
S4_CONFIRMATION,2021_2022_H2,R0_STANDARD,0.0,15,11,4,0.7333333333333333,1.7939504354943205,0.21540209429665705,3.2310314144498555,-1.2683267708993964
S4_CONFIRMATION,2021_2022_H2,R1_EXTRA_COST,0.01,15,11,4,0.7333333333333333,1.7497223723298758,0.205402094296657,3.081031414449855,-1.2983267708993964
S4_CONFIRMATION,2021_2022_H2,R2_EXTRA_COST,0.02,15,11,4,0.7333333333333333,1.7063469880975386,0.19540209429665706,2.9310314144498557,-1.3283267708993964
S4_CONFIRMATION,2023_2024_H1,R0_STANDARD,0.0,27,14,13,0.5185185185185185,0.758422733668477,-0.11304727693730728,-3.0522764773072963,-4.0536652106642475
S4_CONFIRMATION,2023_2024_H1,R1_EXTRA_COST,0.01,27,14,13,0.5185185185185185,0.7397310767413501,-0.12304727693730731,-3.3222764773072972,-4.233665210664247
S4_CONFIRMATION,2023_2024_H1,R2_EXTRA_COST,0.02,27,14,13,0.5185185185185185,0.7214163032858918,-0.13304727693730728,-3.592276477307297,-4.413665210664247
S4_CONFIRMATION,2023_2024_H2,R0_STANDARD,0.0,179,95,84,0.5307262569832403,0.7290565307230248,-0.1297778705386539,-23.230238826419047,-26.200005106794908
S4_CONFIRMATION,2023_2024_H2,R1_EXTRA_COST,0.01,179,95,84,0.5307262569832403,0.7110103567829781,-0.1397778705386539,-25.020238826419046,-27.920005106794925
S4_CONFIRMATION,2023_2024_H2,R2_EXTRA_COST,0.02,179,95,84,0.5307262569832403,0.6933109931110312,-0.14977787053865393,-26.810238826419052,-29.64000510679492
S4_CONFIRMATION,ALL_EARLY,R0_STANDARD,0.0,82,44,38,0.5365853658536586,0.7032207932609584,-0.13464868513641157,-11.041192181185748,-11.321547307665051
S4_CONFIRMATION,ALL_EARLY,R1_EXTRA_COST,0.01,82,44,38,0.5365853658536586,0.6844033335737971,-0.14464868513641155,-11.861192181185746,-12.061547307665052
S4_CONFIRMATION,ALL_EARLY,R2_EXTRA_COST,0.02,82,44,38,0.5365853658536586,0.6659625860258466,-0.15464868513641158,-12.68119218118575,-12.801547307665054
S4_CONFIRMATION,ALL_LATE,R0_STANDARD,0.0,661,377,284,0.5703479576399395,0.8430806942392797,-0.06850743577279407,-45.28341504581688,-55.186891109413274
S4_CONFIRMATION,ALL_LATE,R1_EXTRA_COST,0.01,661,377,284,0.5703479576399395,0.8219277278711963,-0.07850743577279408,-51.89341504581689,-61.48689110941333
S4_CONFIRMATION,ALL_LATE,R2_EXTRA_COST,0.02,661,377,284,0.5703479576399395,0.8011830731358593,-0.0885074357727941,-58.5034150458169,-67.78689110941328
S4_CONFIRMATION,pooled,R0_STANDARD,0.0,743,421,322,0.566621803499327,0.8271090428367022,-0.07580700838089183,-56.32460722700263,-62.009878061758215
S4_CONFIRMATION,pooled,R1_EXTRA_COST,0.01,743,421,322,0.566621803499327,0.8062176506972685,-0.08580700838089184,-63.75460722700264,-68.67987806175827
S4_CONFIRMATION,pooled,R2_EXTRA_COST,0.02,743,421,322,0.566621803499327,0.7857312315200682,-0.09580700838089184,-71.18460722700264,-75.34987806175829
