model_id,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf
B0_31,2018_2020,498,289,209,0.5803212851405622,0.6329346117086618,-1.0098356118488245,0.6267699458032324,0.6147150693186927,-0.03439378417813044,0.8666818867805465,-0.05650108452329521,-28.137540092601014,-49.51106078985202,182.91810278380328,211.0556428764043,0.4543795620437956,0.5682730923694779,283,206,6,3,0,9.738955823293173,0.8245699200504323,-0.07578608548818563,-37.741470573116445,0.8804660929419086
B0_31,2021_2022,24,14,10,0.5833333333333334,0.6376800663386331,-1.0197947009612267,0.6253023924693624,0.6152701211992158,-0.03193678786588239,0.8754233494571074,-0.05293442003630857,-1.2704260808714056,-6.853080533085027,8.927520928740863,10.197947009612268,0.03287671232876712,0.5833333333333334,14,10,0,0,0,8.0,0.8291714015669357,-0.07399650019845132,-1.7759160047628315,0.8687096418235059
B0_31,2023_2024,167,87,80,0.5209580838323353,0.6603777001937072,-1.0129088703822642,0.6519616122469988,0.6053409429047202,-0.08438285907238485,0.7090082533186111,-0.1411967048726265,-23.579849713728628,-24.300883320606264,57.452859916852525,81.03270963058114,0.22845417236662108,0.5209580838323353,87,79,0,1,0,7.74251497005988,0.6721445480673458,-0.16241244513164174,-27.12287833698417,0.6945932105189068
B0_31,pooled,689,390,299,0.5660377358490566,0.6392268811010171,-1.0109909682829357,0.6322775387268575,0.6126409120228287,-0.046603176173772076,0.8247098331219882,-0.07690539315994348,-52.98781588720106,-59.57958015890608,249.29848362939669,302.28629951659775,0.26945639421196715,0.5573294629898403,384,295,6,4,0,9.194484760522496,0.7838186120438296,-0.09672026838151442,-66.64026491486344,0.8429659096770507
B1_31_plus_5_treasury,2018_2020,2029,691,1338,0.3405618531296205,0.9267318303121137,-0.9889485091729147,0.9370880503042222,0.5162387945364428,-0.17567694140682233,0.4839520498955287,-0.33654086275391293,-682.8414105276893,-682.841410527693,640.3716947456705,1323.2131052733598,1.8512773722627738,0.25776244455396746,523,1203,168,135,0,58.74075899457861,0.4370721156349786,-0.3861943011750434,-783.588237084163,0.4410097972211914
B1_31_plus_5_treasury,2021_2022,408,225,183,0.5514705882352942,0.6656943144823182,-1.0017129029802516,0.6645559945387287,0.6007608054525758,-0.04929021721728166,0.81707704246565,-0.08218686393839335,-33.53224048686449,-43.217341892844196,149.78122075852158,183.31346124538604,0.5589041095890411,0.5490196078431373,224,178,1,5,0,8.865196078431373,0.7739583579665184,-0.10372740326239398,-42.32078053105674,0.7917217024025085
B1_31_plus_5_treasury,2023_2024,1302,726,576,0.5576036866359447,0.6788720415345418,-1.0204834621841963,0.6652455102814847,0.6005120529230342,-0.042908366287089494,0.8384865285839547,-0.07291656840554514,-94.93737206401977,-105.6915295060358,492.86110215407734,587.798474218097,1.7811217510259918,0.5576036866359447,726,575,0,1,0,6.3056835637480795,0.7936545232395116,-0.09517875141095644,-123.9227343370653,0.8176088739134063
B1_31_plus_5_treasury,pooled,3739,1642,2097,0.4391548542391014,0.7813727269538792,-0.9987243875712175,0.7823707287794258,0.5610505064144561,-0.1218956521753547,0.6126145620676285,-0.21698609871050376,-811.3110230785735,-817.6816093722642,1283.0140176582695,2094.325040736843,1.4622604614782948,0.3939556031024338,1473,1956,169,141,0,35.03931532495319,0.5642517832482046,-0.25403363250930333,-949.8317519522852,0.4458728314653311
