fold,x_train_sha256,x_score_sha256,y_train_sha256,identity_pass
2018_2020,14999ac58c67bff25d7977d63a80f6069dde0256752a20a9dee936c022db69cb,3c6eb5d77182428306f059e9a7d7607d1a4b5de2e5cc5217d9099e74c85e0316,d9bed87a073fd93c048b5a1ab8f0f7049f1a1bb8f3ff46f48a102c0b6763bbd3,True
2021_2022,c921f11aaa44799dc798a1b54d6a745bb636b678be1212d17ba33e046acc0ac4,fd77cdad26894c813e9fba0deb77ed1a5fdcaaffceaad45488da9a2015f11c36,ff55356e8bdf1cb2cd5add50690156178ff32bc17f666f2103c8f51397fb3a12,True
2023_2024,64124692d42cdb077fdfff1d5cf9df26582c025ed738608168b02cfa1cb42470,2b55883b3410e9613983b8cebfbe1e2ea7a47daa33f44a7df535c0a5b083e717,cd05d3647cd88a2fbd2b89fa3362ed5e2f9f13cbd611dee436f0e03e4a054259,True
