candidate_id,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf,primary_trade_count,secondary_trade_count,secondary_wins,secondary_losses,secondary_realized_wr,secondary_trades_per_day,primary_signal_count,secondary_signal_count,overlap_count,guardrail_failures,guardrails_pass,interesting,strong,target,frequency_uplift_pct,delta_wr,delta_trades_per_day,pnl,max_dd,qualification_verdict
A0_BASELINE_075,pooled,689,390,299,0.5660377358490566,0.6392268811010171,-1.0109909682829357,0.6322775387268575,0.6126409120228287,-0.046603176173772076,0.8247098331219882,-0.07690539315994348,-52.98781588720106,-59.57958015890608,249.29848362939669,302.28629951659775,0.26945639421196715,0.5573294629898403,384,295,6,4,0,9.194484760522496,0.7838186120438296,-0.09672026838151442,-66.64026491486344,0.8429659096770507,689,0,0,0,,0.0,6136,0,0,[],True,False,False,False,0.0,0.0,0.0,-52.98781588720106,-59.57958015890608,not_interesting
S1_SECONDARY_P060,pooled,20813,10122,10691,0.4863306587229136,0.7686127458831238,-1.0235924628776947,0.7508972308395774,0.571135748224633,-0.08480508950171939,0.7109327257093071,-0.15198812313440901,-3163.328806796455,-3180.863449968687,7779.898213828979,10943.227020625434,8.139616738365271,0.47989237495795894,9988,10557,134,134,0,12.35420170086004,0.6636374600458157,-0.18227809493006536,-3793.7539897794504,0.6081551897658403,218,20595,9994,10601,0.48526341344986645,8.054360578803285,6136,456175,0,"['2018_2020:pf', 'pooled:pf', 'pooled:mean_r', 'pooled:cost_stress_pf']",False,False,False,False,2920.754716981132,-0.079707077126143,7.870160344153304,-3163.328806796455,-3180.863449968687,not_interesting
S2_SECONDARY_P065,pooled,13351,6892,6459,0.5162160137817392,0.7007739928272462,-1.0212755228961616,0.6861752554687414,0.5930581632939508,-0.07684214951221158,0.7321752377598028,-0.1323259863546496,-1766.684243820927,-1768.3312862148514,4829.734358565381,6596.418602386308,5.221353148220571,0.511871769904876,6834,6407,58,52,0,9.765935135944874,0.6878589836158538,-0.158211739642417,-2112.2849359659094,0.6769633872565963,235,13116,6751,6365,0.5147148520890515,5.129448572545952,6136,243438,0,"['2018_2020:pf', 'pooled:pf', 'pooled:mean_r', 'pooled:cost_stress_pf']",False,False,False,False,1837.7358490566035,-0.04982172206731739,4.951896754008604,-1766.684243820927,-1768.3312862148514,not_interesting
S3_SECONDARY_P070,pooled,5280,2891,2389,0.5475378787878787,0.6669563523669545,-1.019575617592827,0.6541509436461506,0.6045397512489139,-0.057001872461035163,0.7916075253583178,-0.09613548025310568,-507.595335736398,-512.9049366146336,1928.1708146928654,2435.7661504292637,2.064919827923348,0.5443181818181818,2874,2376,17,13,0,7.5308712121212125,0.7478380663397098,-0.11895194162845188,-628.066251798226,0.7467740423776162,335,4945,2691,2254,0.5441860465116279,1.9339069221744232,6136,50371,0,"['pooled:pf', 'pooled:cost_stress_pf']",False,False,False,False,666.3280116110304,-0.01849985706117785,1.7954634337113806,-507.595335736398,-512.9049366146336,not_interesting
S4_SECONDARY_P075,pooled,743,421,322,0.566621803499327,0.6400391892777163,-1.0117425649469605,0.632610716848974,0.6125158861691496,-0.045894082669822645,0.8271090428367022,-0.07580700838089183,-56.32460722700263,-62.009878061758215,269.4564986859186,325.78110591292125,0.2905748924520923,0.5572005383580081,414,318,7,4,0,9.209959623149395,0.7857575699558063,-0.0958037052260248,-71.18215298293643,0.8549623581604606,665,78,41,37,0.5256410256410257,0.030504497457958545,6136,250,0,[],True,True,False,False,7.837445573294621,0.0005840676502704145,0.021118498240125128,-56.32460722700263,-62.009878061758215,interesting_research_only
