candidate_id,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf,primary_trade_count,secondary_trade_count,secondary_wins,secondary_losses,secondary_realized_wr,secondary_trades_per_day,primary_signal_count,secondary_signal_count,overlap_count,guardrail_failures,guardrails_pass
A0_BASELINE_075,2018_2020,498,289,209,0.5803212851405622,0.6329346117086618,-1.0098356118488245,0.6267699458032324,0.6147150693186927,-0.03439378417813044,0.8666818867805465,-0.05650108452329521,-28.137540092601014,-49.51106078985202,182.91810278380328,211.0556428764043,0.4543795620437956,0.5682730923694779,283,206,6,3,0,9.738955823293173,0.8245699200504323,-0.07578608548818563,-37.741470573116445,0.8804660929419086,498,0,0,0,,0.0,4940,0,0,[],True
A0_BASELINE_075,2021_2022,24,14,10,0.5833333333333334,0.6376800663386331,-1.0197947009612267,0.6253023924693624,0.6152701211992158,-0.03193678786588239,0.8754233494571074,-0.05293442003630857,-1.2704260808714056,-6.853080533085027,8.927520928740863,10.197947009612268,0.03287671232876712,0.5833333333333334,14,10,0,0,0,8.0,0.8291714015669357,-0.07399650019845132,-1.7759160047628315,0.8687096418235059,24,0,0,0,,0.0,185,0,0,[],True
A0_BASELINE_075,2023_2024,167,87,80,0.5209580838323353,0.6603777001937072,-1.0129088703822642,0.6519616122469988,0.6053409429047202,-0.08438285907238485,0.7090082533186111,-0.1411967048726265,-23.579849713728628,-24.300883320606264,57.452859916852525,81.03270963058114,0.22845417236662108,0.5209580838323353,87,79,0,1,0,7.74251497005988,0.6721445480673458,-0.16241244513164174,-27.12287833698417,0.6945932105189068,167,0,0,0,,0.0,1011,0,0,[],True
A0_BASELINE_075,pooled,689,390,299,0.5660377358490566,0.6392268811010171,-1.0109909682829357,0.6322775387268575,0.6126409120228287,-0.046603176173772076,0.8247098331219882,-0.07690539315994348,-52.98781588720106,-59.57958015890608,249.29848362939669,302.28629951659775,0.26945639421196715,0.5573294629898403,384,295,6,4,0,9.194484760522496,0.7838186120438296,-0.09672026838151442,-66.64026491486344,0.8429659096770507,689,0,0,0,,0.0,6136,0,0,[],True
S1_SECONDARY_P060,2018_2020,8420,3837,4583,0.45570071258907363,0.8003084708413172,-1.0192720960555086,0.7851764744060384,0.5601687084369172,-0.10446799584784361,0.6573690011555683,-0.19008793510739455,-1600.540413604262,-1601.5536503264245,3070.783602618134,4671.324016222396,7.682481751824818,0.44263657957244656,3727,4479,110,104,0,13.628859857482185,0.6101792504063942,-0.22370431785295555,-1883.5903563218858,0.6081540862860685,172,8248,3737,4511,0.4530795344325897,7.525547445255475,4940,202799,0,['pf'],False
S1_SECONDARY_P060,2021_2022,4759,2407,2352,0.5057785249001892,0.7278765706276139,-1.0247672400662156,0.7102847770393032,0.5846979482160353,-0.07891942331584612,0.7268943275227903,-0.13831763881804424,-658.2536431350725,-660.6004978263012,1751.9989055006668,2410.252548635739,6.519178082191781,0.5040974994746795,2399,2340,8,12,0,8.74385375078798,0.680828193173947,-0.16611491746362322,-790.540892209383,0.713038680611878,6,4753,2404,2349,0.5057858194824322,6.510958904109589,185,107550,0,[],True
S1_SECONDARY_P060,2023_2024,7634,3878,3756,0.5079905685093005,0.7625362830609023,-1.0281284493523162,0.7416741395895353,0.5741602158918617,-0.06616964738256126,0.7657647266582052,-0.11848765392417089,-904.5347500571206,-922.5553903807069,2957.115705710179,3861.6504557672993,10.443228454172367,0.5058946816871889,3862,3738,16,18,0,13.19897825517422,0.7179773473459946,-0.14666265931990846,-1119.6227412481812,0.7821807223557281,40,7594,3853,3741,0.5073742428232816,10.388508891928865,1011,145826,0,[],True
S1_SECONDARY_P060,pooled,20813,10122,10691,0.4863306587229136,0.7686127458831238,-1.0235924628776947,0.7508972308395774,0.571135748224633,-0.08480508950171939,0.7109327257093071,-0.15198812313440901,-3163.328806796455,-3180.863449968687,7779.898213828979,10943.227020625434,8.139616738365271,0.47989237495795894,9988,10557,134,134,0,12.35420170086004,0.6636374600458157,-0.18227809493006536,-3793.7539897794504,0.6081551897658403,218,20595,9994,10601,0.48526341344986645,8.054360578803285,6136,456175,0,"['pf', 'mean_r', 'cost_stress_pf']",False
S2_SECONDARY_P065,2018_2020,5559,2753,2806,0.4952329555675481,0.711803100141813,-1.0185507304664216,0.6988391239146815,0.5886372558313071,-0.09340430026375901,0.6856393828001134,-0.16162248875667706,-898.4594149983677,-900.1522295133136,1959.5939346904113,2858.0533496887792,5.072080291970803,0.48623853211009177,2703,2764,50,42,0,10.688433171433712,0.6414722722560051,-0.18952138650621253,-1053.5493875880354,0.6768128250150398,185,5374,2644,2730,0.491998511350949,4.903284671532846,4940,98963,0,['pf'],False
S2_SECONDARY_P065,2021_2022,2548,1372,1176,0.5384615384615384,0.6658969568037324,-1.0211132230311335,0.6521284239440599,0.6052798229890266,-0.06681828452748817,0.7608164946014032,-0.11272312619697487,-287.218525549892,-298.66714525523565,913.6106247347209,1200.829150284613,3.4904109589041097,0.5372841444270016,1369,1170,3,6,0,8.78806907378336,0.7168451347354184,-0.13658432855045471,-348.01686914655863,0.768096929689012,9,2539,1367,1172,0.538400945254037,3.478082191780822,185,51222,0,[],True
