scheme,positive_pf_folds,worst_fold_pf,median_fold_pf,fold_pf_std,fold_wr_std,pooled_pf,pooled_wr,pooled_mean_r,descriptive_stability_rank
W0_expanding,0,0.0,0.0,0.17559139569861368,0.11972178305803978,0.3724855998495003,0.25396825396825395,-0.4459526009202168,4
W1_trailing_24m,0,0.24722491686809855,0.4437822509815153,0.2978150741602319,0.13797039190361268,0.44319710533155493,0.3011647254575707,-0.37408786431811286,3
W2_trailing_18m,0,0.4279596912700647,0.43228100728368724,0.21193475799155206,0.0639920445985949,0.4629001587653412,0.29984544049459044,-0.3689545388735895,1
W3_trailing_12m,0,0.4084790898462902,0.4348480139655684,0.17401548952114052,0.07075582154984605,0.4788264491454406,0.31871838111298484,-0.3492023204275953,2
