scheme,fold,decile,probability_min,probability_max,observations,realized_wr,mean_r,pf
W0_expanding,2018_2020,1,0.10200191289186478,0.2728632986545563,105807,0.36290604591378645,-0.30398373422844965,0.5321896822814514
W0_expanding,2018_2020,2,0.2728634178638458,0.32792145013809204,105808,0.34353735067291696,-0.3090800903822546,0.537784704090177
W0_expanding,2018_2020,3,0.3279218077659607,0.3738618791103363,105808,0.3552661424466959,-0.2986451916460619,0.5435450756106455
W0_expanding,2018_2020,4,0.3738618791103363,0.41473034024238586,105808,0.3593017541206714,-0.30043757658532827,0.5380305988710783
W0_expanding,2018_2020,5,0.41473034024238586,0.4538484513759613,105808,0.351060411311054,-0.3015920411283009,0.5446900900481388
W0_expanding,2018_2020,6,0.4538491368293762,0.49503594636917114,105808,0.33622221382126116,-0.31402287803567797,0.5389410496129744
W0_expanding,2018_2020,7,0.49503594636917114,0.5378120541572571,105808,0.32481475880840766,-0.3169557273253291,0.5419792781390006
W0_expanding,2018_2020,8,0.5378122925758362,0.5858920812606812,105808,0.3147871616512929,-0.33209159572752445,0.5206626336341339
W0_expanding,2018_2020,9,0.5858927369117737,0.6492419838905334,105808,0.3051565099047331,-0.3444578785640991,0.5002032527679678
W0_expanding,2018_2020,10,0.649242103099823,0.8158532381057739,105809,0.301354327136633,-0.35823532439056505,0.46657779089545953
W0_expanding,2021_2022,1,0.09789866209030151,0.30195143818855286,70819,0.37101625270054645,-0.24428633596810412,0.6285571818628405
W0_expanding,2021_2022,2,0.30195152759552,0.3366844356060028,70820,0.3693448178480655,-0.24614880800109026,0.626904926148816
W0_expanding,2021_2022,3,0.3366844654083252,0.3640693724155426,70820,0.37153346512284663,-0.24681809837761853,0.623828726869495
W0_expanding,2021_2022,4,0.3640694320201874,0.3885190188884735,70819,0.3702678659681724,-0.25093389500360946,0.6184424800219044
W0_expanding,2021_2022,5,0.38851919770240784,0.4120699167251587,70820,0.3759813611974019,-0.23620225348820337,0.6375674855679755
W0_expanding,2021_2022,6,0.4120711386203766,0.4366958737373352,70820,0.3644027110985597,-0.25870180539487014,0.6102338076995117
W0_expanding,2021_2022,7,0.43669599294662476,0.4634002149105072,70819,0.35518716728561545,-0.26633153225353384,0.6043821236949922
W0_expanding,2021_2022,8,0.46340063214302063,0.49842190742492676,70820,0.34497317142050266,-0.2768083816245299,0.5953108533551534
