scheme,fold,entry_time,exit_time,score,rsi,outcome,exit_type,spread_points,spread_observed,gross_pnl_price,denominator,reward,stress_reward,risk_multiplier
W0_expanding,2018_2020,2018-03-14T04:45:00,2018-03-14T05:21:00,0.7510138154029846,56.189726994120385,2,sl,30.0,False,-0.6,0.8999999999999999,-1.0555555555555556,-1.1111111111111112,1.0
W0_expanding,2018_2020,2018-03-20T04:57:00,2018-03-20T06:27:00,0.7530536651611328,34.44390865030118,0,timeout,30.0,False,-0.25,0.8999999999999999,-0.6666666666666669,-0.7222222222222223,1.0
W0_expanding,2018_2020,2018-05-07T03:01:00,2018-05-07T03:10:00,0.751497745513916,50.484750692708815,1,tp,30.0,False,1.5,0.8999999999999999,1.277777777777778,1.2222222222222225,1.0
W0_expanding,2018_2020,2018-05-07T04:10:00,2018-05-07T05:02:00,0.7514781951904297,48.01946917199717,2,sl,30.0,False,-0.6,0.8999999999999999,-1.0555555555555556,-1.1111111111111112,1.0
W0_expanding,2018_2020,2018-05-08T04:03:00,2018-05-08T04:30:00,0.7542629241943359,69.86234378574623,2,sl,30.0,False,-0.6,0.8999999999999999,-1.0555555555555556,-1.1111111111111112,1.0
W0_expanding,2018_2020,2018-05-10T01:37:00,2018-05-10T02:50:00,0.7541701197624207,31.168264473126513,2,sl,30.0,False,-0.6,0.8999999999999999,-1.0555555555555556,-1.1111111111111112,1.0
W0_expanding,2018_2020,2018-05-10T03:47:00,2018-05-10T04:10:00,0.751527726650238,31.775285183178767,1,tp,30.0,False,1.5,0.8999999999999999,1.277777777777778,1.2222222222222225,1.0
W0_expanding,2018_2020,2018-05-14T03:11:00,2018-05-14T03:42:00,0.7512322664260864,50.80175870341019,1,tp,30.0,False,1.5,0.8999999999999999,1.277777777777778,1.2222222222222225,1.0
W0_expanding,2018_2020,2018-05-14T04:03:00,2018-05-14T04:16:00,0.7517600059509277,61.70151502041686,2,sl,30.0,False,-0.6,0.8999999999999999,-1.0555555555555556,-1.1111111111111112,1.0
W0_expanding,2018_2020,2018-05-18T04:07:00,2018-05-18T04:21:00,0.7513812184333801,30.06508437176805,2,sl,30.0,False,-0.6,0.8999999999999999,-1.0555555555555556,-1.1111111111111112,1.0
W0_expanding,2018_2020,2018-05-21T04:02:00,2018-05-21T04:10:00,0.7500777244567871,64.54504380427167,2,sl,30.0,False,-0.6,0.8999999999999999,-1.0555555555555556,-1.1111111111111112,1.0
W0_expanding,2018_2020,2018-05-21T04:41:00,2018-05-21T04:57:00,0.7528782486915588,62.43045633901181,2,sl,30.0,False,-0.6,0.8999999999999999,-1.0555555555555556,-1.1111111111111112,1.0
W0_expanding,2018_2020,2018-05-23T01:01:00,2018-05-23T02:12:00,0.7591832280158997,32.81214111720709,1,tp,30.0,False,1.5,0.8999999999999999,1.277777777777778,1.2222222222222225,1.0
