scheme,fold,bucket_low,bucket_high,observations,predicted_mean,observed_positive_label_rate,absolute_calibration_error
W0_expanding,2018_2020,0.0,0.1,0,,,
W0_expanding,2018_2020,0.1,0.2,21960,0.17647333546034408,0.0977231329690346,0.07875020249130947
W0_expanding,2018_2020,0.2,0.30000000000000004,133096,0.25815755745368363,0.134151289294945,0.12400626815873864
W0_expanding,2018_2020,0.30000000000000004,0.4,229026,0.35261553275028024,0.1593006907512684,0.19331484199901183
W0_expanding,2018_2020,0.4,0.5,263175,0.4493376494629426,0.17652892561983471,0.27280872384310784
W0_expanding,2018_2020,0.5,0.6000000000000001,225361,0.5471784196189585,0.2237299266510177,0.3234484929679408
W0_expanding,2018_2020,0.6000000000000001,0.7000000000000001,146060,0.6464117532631445,0.272025195125291,0.3743865581378535
W0_expanding,2018_2020,0.7000000000000001,0.8,39361,0.7271946235487596,0.2975788216762785,0.4296158018724811
W0_expanding,2018_2020,0.8,0.9,41,0.8074543970387157,0.0975609756097561,0.7098934214289596
W0_expanding,2018_2020,0.9,1.0,0,,,
W0_expanding,2021_2022,0.0,0.1,2,0.09880111366510391,0.0,0.09880111366510391
W0_expanding,2021_2022,0.1,0.2,1318,0.18174126446925454,0.06904400606980274,0.1126972583994518
W0_expanding,2021_2022,0.2,0.30000000000000004,66337,0.2705963754668936,0.0811764173839637,0.18941995808292988
W0_expanding,2021_2022,0.30000000000000004,0.4,250273,0.3548157085943614,0.12082006448957738,0.23399564410478402
W0_expanding,2021_2022,0.4,0.5,251232,0.44524804227195997,0.15067746146987646,0.29457058080208354
W0_expanding,2021_2022,0.5,0.6000000000000001,107414,0.5427605594214648,0.16460610348744112,0.37815445593402375
W0_expanding,2021_2022,0.6000000000000001,0.7000000000000001,31310,0.6327276564032762,0.18786330245927818,0.44486435394399804
W0_expanding,2021_2022,0.7000000000000001,0.8,311,0.7090380107474864,0.13183279742765272,0.5772052133198337
W0_expanding,2021_2022,0.8,0.9,0,,,
W0_expanding,2021_2022,0.9,1.0,0,,,
W0_expanding,2023_2024,0.0,0.1,0,,,
W0_expanding,2023_2024,0.1,0.2,2530,0.1894814035107967,0.05059288537549407,0.13888851813530262
W0_expanding,2023_2024,0.2,0.30000000000000004,72588,0.2630647563941552,0.0766242354108117,0.18644052098334352
W0_expanding,2023_2024,0.30000000000000004,0.4,241464,0.35620619825838856,0.11718931186429447,0.23901688639409407
W0_expanding,2023_2024,0.4,0.5,272218,0.4453916738666332,0.16180781579469397,0.2835838580719392
W0_expanding,2023_2024,0.5,0.6000000000000001,95538,0.5391371557577747,0.1898092905440767,0.34932786521369796
W0_expanding,2023_2024,0.6000000000000001,0.7000000000000001,23050,0.63468856475617,0.2563123644251627,0.3783762003310073
W0_expanding,2023_2024,0.7000000000000001,0.8,632,0.7105388188663917,0.2800632911392405,0.4304755277271512
W0_expanding,2023_2024,0.8,0.9,0,,,
W0_expanding,2023_2024,0.9,1.0,0,,,
W0_expanding,pooled,0.0,0.1,2,0.09880111366510391,0.0,0.09880111366510391
W0_expanding,pooled,0.1,0.2,25808,0.1780175675822206,0.0916382517048977,0.0863793158773229
W0_expanding,pooled,0.2,0.30000000000000004,272021,0.2625004487276414,0.10588153120531135,0.15661891752233004
W0_expanding,pooled,0.30000000000000004,0.4,720763,0.3545824220957039,0.1318311289563976,0.2227512931393063
W0_expanding,pooled,0.4,0.5,786625,0.44666597518526124,0.1631781344350866,0.28348784075017464
W0_expanding,pooled,0.5,0.6000000000000001,428313,0.5442768352588682,0.2013364058527292,0.342940429406139
W0_expanding,pooled,0.6000000000000001,0.7000000000000001,200420,0.642925731070907,0.25707015267937333,0.38585557839153367
W0_expanding,pooled,0.7000000000000001,0.8,40304,0.7267933438956122,0.29602520841603813,0.4307681354795741
W0_expanding,pooled,0.8,0.9,41,0.8074543970387157,0.0975609756097561,0.7098934214289596
W0_expanding,pooled,0.9,1.0,0,,,
W1_trailing_24m,2018_2020,0.0,0.1,3356,0.08533969163757009,0.11501787842669844,0.029678186789128355
W1_trailing_24m,2018_2020,0.1,0.2,68046,0.16295993427601987,0.1443582282573553,0.018601706018664566
W1_trailing_24m,2018_2020,0.2,0.30000000000000004,146644,0.25073109519538644,0.16234554431139359,0.08838555088399286
W1_trailing_24m,2018_2020,0.30000000000000004,0.4,178494,0.35335383799796916,0.14950082355709435,0.2038530144408748
W1_trailing_24m,2018_2020,0.4,0.5,237310,0.4510753499373268,0.16775947073448233,0.28331587920284446
W1_trailing_24m,2018_2020,0.5,0.6000000000000001,220435,0.5477334747095541,0.21988341234377481,0.3278500623657793
W1_trailing_24m,2018_2020,0.6000000000000001,0.7000000000000001,145320,0.644489355335674,0.2630952380952381,0.38139411724043587
W1_trailing_24m,2018_2020,0.7000000000000001,0.8,54869,0.7377015972368183,0.2975632871020066,0.4401383101348117
W1_trailing_24m,2018_2020,0.8,0.9,3606,0.8182034317116835,0.3521907931225735,0.46601263858911
W1_trailing_24m,2018_2020,0.9,1.0,0,,,
W1_trailing_24m,2021_2022,0.0,0.1,0,,,
W1_trailing_24m,2021_2022,0.1,0.2,2973,0.17676864738591463,0.08005381769256643,0.0967148296933482
W1_trailing_24m,2021_2022,0.2,0.30000000000000004,52806,0.26722369312030037,0.09031170700299208,0.1769119861173083
W1_trailing_24m,2021_2022,0.30000000000000004,0.4,210950,0.3565066600160933,0.10866556055937426,0.24784109945671906
W1_trailing_24m,2021_2022,0.4,0.5,262440,0.4477591413030799,0.14397576588934613,0.3037833754137338
W1_trailing_24m,2021_2022,0.5,0.6000000000000001,135683,0.5412618247881562,0.17225444602492573,0.3690073787632305
W1_trailing_24m,2021_2022,0.6000000000000001,0.7000000000000001,38338,0.6373022732286177,0.18973342375710783,0.4475688494715098
W1_trailing_24m,2021_2022,0.7000000000000001,0.8,4860,0.7299709292473616,0.16707818930041152,0.5628927399469501
W1_trailing_24m,2021_2022,0.8,0.9,147,0.8100962273928584,0.0,0.8100962273928584
W1_trailing_24m,2021_2022,0.9,1.0,0,,,
W1_trailing_24m,2023_2024,0.0,0.1,0,,,
W1_trailing_24m,2023_2024,0.1,0.2,76,0.19281850186617752,0.013157894736842105,0.1796606071293354
W1_trailing_24m,2023_2024,0.2,0.30000000000000004,35733,0.27078583956113395,0.07147454733719531,0.19931129222393862
W1_trailing_24m,2023_2024,0.30000000000000004,0.4,147233,0.359016325726595,0.09946818987591097,0.25954813585068404
W1_trailing_24m,2023_2024,0.4,0.5,238631,0.45048798920365096,0.14162451651294258,0.30886347269070835
W1_trailing_24m,2023_2024,0.5,0.6000000000000001,230900,0.5443158000761836,0.17313555651797316,0.37118024355821044
W1_trailing_24m,2023_2024,0.6000000000000001,0.7000000000000001,51313,0.6336189592153869,0.2018591779860854,0.4317597812293015
W1_trailing_24m,2023_2024,0.7000000000000001,0.8,4129,0.7259157673300366,0.22257205134415112,0.5033437159858855
