fold,recency_ordinal,test_midpoint,trades,trades_per_day,realized_wr,pf,mean_r,pnl,max_dd
2018_2020,1,2019-07-03T00:00:00,189,0.17244525547445255,0.25396825396825395,0.3724855998495003,-0.4459526009202168,-84.28504157392098,-88.41767778745977
2021_2022,2,2022-01-01T00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0
2023_2024,3,2024-01-01T12:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0
