candidate_id,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf,anchor_trade_count,secondary_trade_count,secondary_wins,secondary_losses,secondary_realized_wr,secondary_trades_per_day
A0_BASELINE_075,2018_2020,498,289,209,0.5803212851405622,0.6329346117086618,-1.0098356118488245,0.6267699458032324,0.6147150693186927,-0.03439378417813044,0.8666818867805465,-0.05650108452329521,-28.137540092601014,-49.51106078985202,182.91810278380328,211.0556428764043,0.4543795620437956,0.5682730923694779,283,206,6,3,0,9.738955823293173,0.8245699200504323,-0.07578608548818563,-37.741470573116445,0.8804660929419086,498,0,0,0,,0.0
A0_BASELINE_075,2021_2022,24,14,10,0.5833333333333334,0.6376800663386331,-1.0197947009612267,0.6253023924693624,0.6152701211992158,-0.03193678786588239,0.8754233494571074,-0.05293442003630857,-1.2704260808714056,-6.853080533085027,8.927520928740863,10.197947009612268,0.03287671232876712,0.5833333333333334,14,10,0,0,0,8.0,0.8291714015669357,-0.07399650019845132,-1.7759160047628315,0.8687096418235059,24,0,0,0,,0.0
A0_BASELINE_075,2023_2024,167,87,80,0.5209580838323353,0.6603777001937072,-1.0129088703822642,0.6519616122469988,0.6053409429047202,-0.08438285907238485,0.7090082533186111,-0.1411967048726265,-23.579849713728628,-24.300883320606264,57.452859916852525,81.03270963058114,0.22845417236662108,0.5209580838323353,87,79,0,1,0,7.74251497005988,0.6721445480673458,-0.16241244513164174,-27.12287833698417,0.6945932105189068,167,0,0,0,,0.0
A0_BASELINE_075,pooled,689,390,299,0.5660377358490566,0.6392268811010171,-1.0109909682829357,0.6322775387268575,0.6126409120228287,-0.046603176173772076,0.8247098331219882,-0.07690539315994348,-52.98781588720106,-59.57958015890608,249.29848362939669,302.28629951659775,0.26945639421196715,0.5573294629898403,384,295,6,4,0,9.194484760522496,0.7838186120438296,-0.09672026838151442,-66.64026491486344,0.8429659096770507,689,0,0,0,,0.0
E1_5M_F070,2018_2020,602,331,271,0.5498338870431894,0.6320949526311443,-1.0119628706126589,0.6246226724192595,0.6155275418573836,-0.0656936548141942,0.7629155150213096,-0.10800416713475385,-65.01850861512182,-70.1320586155701,209.2234293209088,274.2419379360306,0.5492700729927007,0.5365448504983389,323,268,8,3,0,10.156146179401993,0.7254213730066338,-0.1274905618202745,-76.74931821580525,0.7524287514983288,442,160,75,85,0.46875,0.145985401459854
E1_5M_F070,2021_2022,40,22,18,0.55,0.6604865636314696,-1.019232797080519,0.6480232636973233,0.606787550896891,-0.056787550896890915,0.7920284334078396,-0.09538714868892513,-3.815485947557005,-10.89621450985614,14.530704399892333,18.346190347449344,0.0547945205479452,0.55,22,18,0,0,0,8.725,0.7527215878711258,-0.1155555554285761,-4.622222217143044,0.7838443692526579,19,21,11,10,0.5238095238095238,0.028767123287671233
E1_5M_F070,2023_2024,213,110,103,0.5164319248826291,0.657412952929085,-1.015430622642729,0.6474228157686657,0.6070087110778621,-0.09057678619523302,0.6914224246073127,-0.1515207948826373,-32.27392931000175,-32.27392931000175,72.31542482219935,104.5893541322011,0.2913816689466484,0.5164319248826291,110,102,0,1,0,7.769953051643192,0.6548898302945362,-0.17310831292245357,-36.87207065248261,0.676060889785439,137,76,38,38,0.5,0.1039671682626539
E1_5M_F070,pooled,855,463,392,0.5415204678362573,0.6394590897257029,-1.0132078633053085,0.6311232994576707,0.6130744379241522,-0.07155397008789488,0.7454338970635243,-0.11825488172243344,-101.10792387268059,-103.61368331465995,296.0695585430004,397.17748241568097,0.3343762221353148,0.5321637426900585,455,388,8,4,0,9.494736842105263,0.7080769053493079,-0.13829662115255073,-118.24361108543089,0.7400842501666346,598,257,124,133,0.48249027237354086,0.10050840829096598
E2_5M_F072,2018_2020,581,325,256,0.5593803786574871,0.6315463030382059,-1.011478870750015,0.6243791356411748,0.6156198254819865,-0.05623944682449933,0.7926688245444602,-0.09240282689257646,-53.68604242458693,-62.15890385760232,205.25254848741693,258.93859091200386,0.5301094890510949,0.5456110154905336,317,253,8,3,0,10.175559380378658,0.7536706388847224,-0.11189120309224437,-65.00878899659398,0.7828739371921145,447,134,68,66,0.5074626865671642,0.12226277372262774
E2_5M_F072,2021_2022,33,18,15,0.5454545454545454,0.6056827944633584,-1.0194376295416652,0.5941342333377185,0.6272997462116161,-0.08184520075707069,0.7129610800052623,-0.13300830735710686,-4.389274142784527,-8.535360542957589,10.90229030034045,15.291564443124976,0.045205479452054796,0.5151515151515151,17,15,1,0,0,11.272727272727273,0.675016467265523,-0.1534624326215244,-5.064260276510305,0.7069508408215283,19,14,7,7,0.5,0.019178082191780823
E2_5M_F072,2023_2024,206,107,99,0.5194174757281553,0.6574481899588346,-1.0151669091843707,0.6476257096353318,0.6069339620958751,-0.0875164863677198,0.6999591003129344,-0.1463813965226088,-30.15456768365741,-30.154567683657405,70.3469563255953,100.5015240092527,0.2818057455540356,0.5194174757281553,107,98,0,1,0,7.635922330097087,0.663051379097161,-0.1679276504358044,-34.593095989775705,0.7092837387120504,138,68,35,33,0.5147058823529411,0.09302325581395349
E2_5M_F072,pooled,820,450,370,0.5487804878048781,0.6366706558074504,-1.0127883226064365,0.6286315132158735,0.614012434295474,-0.06523194649059594,0.7645518403976839,-0.1075974198183279,-88.22988425102888,-91.76594437642733,286.50179511335267,374.73167936438153,0.3206883066093078,0.5378048780487805,441,366,9,4,0,9.581707317073171,0.7261188153279055,-0.1276416405644878,-104.66614526288,0.7668503753862765,604,216,110,106,0.5092592592592593,0.0844739929605006
E3_10M_F070,2018_2020,656,356,300,0.5426829268292683,0.6311143532311767,-1.010168392339311,0.6247615328466823,0.6154749357266838,-0.07279200889741544,0.7413836856447298,-0.11947226821874138,-78.37380795149434,-82.59059466909689,224.67670975029893,303.0505177017933,0.5985401459854015,0.5274390243902439,346,296,10,4,0,10.385670731707316,0.704879710672964,-0.13899050033563806,-91.17776822017856,0.713802281007766,421,235,111,124,0.4723404255319149,0.21441605839416059
E3_10M_F070,2021_2022,45,25,20,0.5555555555555556,0.6609875268223294,-1.0194990809213973,0.6483453876436511,0.6066689708942151,-0.05111341533865954,0.810431734554564,-0.08589540995266019,-3.8652934478697087,-11.138467975102923,16.524688170558235,20.389981618427946,0.06164383561643835,0.5555555555555556,25,20,0,0,0,8.755555555555556,0.7708570728976082,-0.10581292447051839,-4.761581601173328,0.7280590674767861,19,26,14,12,0.5384615384615384,0.03561643835616438
E3_10M_F070,2023_2024,228,113,115,0.4956140350877193,0.6594658378995687,-1.0161892910228332,0.6489596414028249,0.6064429807082887,-0.11082894562056944,0.6376733867697323,-0.18571109116216908,-42.34212878497455,-42.34212878497455,74.51963968265126,116.86176846762582,0.3119015047879617,0.4956140350877193,113,114,0,1,0,7.741228070175438,0.6040303156461918,-0.2073392401330967,-47.27334675034605,0.6155165880688177,133,95,43,52,0.45263157894736844,0.12995896032831739
E3_10M_F070,pooled,929,494,435,0.5317545748116254,0.6391114121528512,-1.0121891213513725,0.6314150178768709,0.6129648121674174,-0.08121023735579203,0.7170552157038488,-0.1341025082716239,-124.58123018433861,-124.70726706976752,315.7210376035085,440.3022677878471,0.3633163863903011,0.5209903121636168,484,430,10,5,0,9.657696447793326,0.6811241721399413,-0.15415790804273194,-143.21269657169796,0.697719780111035,573,356,168,188,0.47191011235955055,0.13922565506452875
E4_10M_F072,2018_2020,628,347,281,0.552547770700637,0.6310227692277901,-1.010394818234837,0.6245308842044429,0.6155623200045931,-0.06301454930395611,0.7712178534481912,-0.1034331894935446,-64.95604300194601,-73.33824847450765,218.96490092204317,283.92094392398917,0.572992700729927,0.5366242038216561,337,277,10,4,0,10.415605095541402,0.7332410393005544,-0.12294878200185402,-77.21183509716433,0.7501678069988003,430,198,96,102,0.48484848484848486,0.18065693430656934
E4_10M_F072,2021_2022,36,19,17,0.5277777777777778,0.6521154599708503,-1.019699848272184,0.6395170707103842,0.609935704766228,-0.08215792698845026,0.7147543731469,-0.13735288003280463,-4.944703681180966,-8.832137286838346,12.390193739446156,17.334897420627126,0.049315068493150684,0.5277777777777778,19,17,0,0,0,8.555555555555555,0.6793924357366924,-0.15736305236352763,-5.665069885086995,0.7079907589247375,19,17,8,9,0.47058823529411764,0.023287671232876714
E4_10M_F072,2023_2024,218,109,109,0.5,0.6591243619818753,-1.0157707832204468,0.6488908451296038,0.6064682831818375,-0.10646828318183754,0.6488908451296039,-0.1783232106192857,-38.87445991500428,-38.874459915004316,71.84455545602441,110.71901537102869,0.2982216142270862,0.5,109,108,0,1,0,7.637614678899083,0.6148267255955865,-0.19983208509536435,-43.563394550789425,0.6392757779554203,135,83,38,45,0.4578313253012048,0.11354309165526676
