candidate_id,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf
A0_BASELINE_075,2018_2020,498,289,209,0.5803212851405622,0.6329346117086618,-1.0098356118488245,0.6267699458032324,0.6147150693186927,-0.03439378417813044,0.8666818867805465,-0.05650108452329521,-28.137540092601014,-49.51106078985202,182.91810278380328,211.0556428764043,0.4543795620437956,0.5682730923694779,283,206,6,3,0,9.738955823293173,0.8245699200504323,-0.07578608548818563,-37.741470573116445,0.8804660929419086
A0_BASELINE_075,2021_2022,24,14,10,0.5833333333333334,0.6376800663386331,-1.0197947009612267,0.6253023924693624,0.6152701211992158,-0.03193678786588239,0.8754233494571074,-0.05293442003630857,-1.2704260808714056,-6.853080533085027,8.927520928740863,10.197947009612268,0.03287671232876712,0.5833333333333334,14,10,0,0,0,8.0,0.8291714015669357,-0.07399650019845132,-1.7759160047628315,0.8687096418235059
A0_BASELINE_075,2023_2024,167,87,80,0.5209580838323353,0.6603777001937072,-1.0129088703822642,0.6519616122469988,0.6053409429047202,-0.08438285907238485,0.7090082533186111,-0.1411967048726265,-23.579849713728628,-24.300883320606264,57.452859916852525,81.03270963058114,0.22845417236662108,0.5209580838323353,87,79,0,1,0,7.74251497005988,0.6721445480673458,-0.16241244513164174,-27.12287833698417,0.6945932105189068
A0_BASELINE_075,pooled,689,390,299,0.5660377358490566,0.6392268811010171,-1.0109909682829357,0.6322775387268575,0.6126409120228287,-0.046603176173772076,0.8247098331219882,-0.07690539315994348,-52.98781588720106,-59.57958015890608,249.29848362939669,302.28629951659775,0.26945639421196715,0.5573294629898403,384,295,6,4,0,9.194484760522496,0.7838186120438296,-0.09672026838151442,-66.64026491486344,0.8429659096770507
A1_ROLLING_1D_P95,2018_2020,3637,1580,2057,0.43442397580423425,0.8229629766380155,-1.002193148297291,0.8211620464939473,0.5490999562203558,-0.11467598041612154,0.6307418733400275,-0.2093015680394455,-761.2298029594633,-766.1797608720512,1300.2815030880645,2061.511306047528,3.3184306569343067,0.4025295573274677,1464,1942,116,115,0,25.420126477866372,0.58070949963763,-0.24734509830718981,-899.5941225432493,0.5949626884470887
A1_ROLLING_1D_P95,2021_2022,2227,1152,1075,0.5172878311629996,0.7308998386972466,-1.0274194445265639,0.7113938154382956,0.5843190450842523,-0.06703121392125266,0.762349465474341,-0.117862276015639,-262.47928868682806,-276.1918531593952,841.9966141792281,1104.4759028660562,3.0506849315068494,0.5163897620116749,1150,1072,2,3,0,8.68747193533902,0.7142581368039634,-0.14572943146478778,-324.5394438720824,0.7195421018992965
A1_ROLLING_1D_P95,2023_2024,3255,1647,1608,0.5059907834101383,0.7458356541159737,-1.0285687621142705,0.7251198768499193,0.5796698614510238,-0.07367907804088558,0.7427067395347121,-0.13073648145952002,-425.5472471507377,-429.88015941228156,1228.3913223290087,1653.938569479747,4.45280437756498,0.5038402457757296,1640,1603,7,5,0,11.16036866359447,0.6975118363882338,-0.15793835345674745,-514.089340501713,0.7187963902368206
A1_ROLLING_1D_P95,pooled,9119,4379,4740,0.4802061629564645,0.7697349713624804,-1.0168619785639939,0.7569709435389602,0.5691613761043541,-0.08895521314788962,0.6993197809614149,-0.15892711249007885,-1449.256338797029,-1455.3874967552945,3370.6694395963013,4819.925778393331,3.5662886194759484,0.46649851957451477,4254,4617,125,123,0,16.243776729904596,0.6510173476325094,-0.19061551781083946,-1738.222906917045,0.5956389544538505
A1_ROLLING_1D_P97,2018_2020,2579,1169,1410,0.45327646374563785,0.8013243530464393,-0.999046025425628,0.8020895260606713,0.5549113878853612,-0.10163492413972336,0.6649947914644856,-0.1829805068394137,-471.90672713884794,-480.9824617570862,936.7481687112876,1408.6548958501355,2.353102189781022,0.4152772392400155,1071,1322,98,88,0,28.194649088794105,0.6124896942135523,-0.22020396275093346,-567.9060199346574,0.6347923957019783
A1_ROLLING_1D_P97,2021_2022,1568,830,738,0.5293367346938775,0.7139736167851777,-1.0268405513453385,0.6953110839358154,0.5898622438534473,-0.06052550915956978,0.7819894304427193,-0.10536366387829232,-165.21022496116237,-173.83623601462236,592.5981019316974,757.8083268928598,2.147945205479452,0.5293367346938775,830,737,0,1,0,8.31951530612245,0.7334023385677829,-0.1323882044646294,-207.58470460053888,0.7663532622596879
A1_ROLLING_1D_P97,2023_2024,2406,1262,1144,0.5245220282626767,0.7343853220261111,-1.0259819129464336,0.7157877860800586,0.5828226591381855,-0.05830063087550885,0.7896190437351696,-0.10263052037147453,-246.92903201376774,-253.49115173133524,926.7942763969522,1173.72330841072,3.2913816689466486,0.5211970074812967,1254,1141,8,3,0,9.92643391521197,0.7425611636011019,-0.12893260766892783,-310.21185405144035,0.7700705035853003
A1_ROLLING_1D_P97,pooled,6553,3261,3292,0.4976346711429879,0.7531863069733018,-1.0146374638984554,0.7423206157590495,0.573947177663593,-0.07631250652060512,0.7353303547965554,-0.13490706304193165,-884.0459841137781,-892.5693667932278,2456.1405470399372,3340.1865311537154,2.5627688697692608,0.48145887379826036,3155,3200,106,92,0,16.731573325194567,0.6852270993786099,-0.16568023479118515,-1085.7025785866363,0.6409652065048869
A1_ROLLING_3D_P95,2018_2020,3548,1588,1960,0.447576099210823,0.7977311327910738,-0.9998655831089863,0.7978383757450729,0.5562235257023996,-0.10864742649157666,0.6464119085118243,-0.1953042570522515,-692.9395040213883,-694.3311804285275,1266.7970388722251,1959.7365428936132,3.2372262773722627,0.4157271702367531,1475,1850,113,110,0,25.1978579481398,0.5966965983146214,-0.23138659420416688,-820.9596362363841,0.5938462157369697
A1_ROLLING_3D_P95,2021_2022,2020,1066,954,0.5277227722772277,0.6934942069965155,-1.0225666020401958,0.6781897683856246,0.5958801673317162,-0.06815739505448848,0.7578095315503939,-0.1169622344990403,-236.2637136880614,-245.82066148843413,739.2648246582855,975.5285383463469,2.767123287671233,0.5272277227722773,1065,949,1,5,0,8.257425742574258,0.7124680728818454,-0.14238348442581075,-287.6146385401377,0.7284183036163794
A1_ROLLING_3D_P95,2023_2024,3053,1628,1425,0.5332459875532264,0.718450570271591,-1.0244851359981617,0.7012796428438178,0.5877928441725337,-0.05454685661930736,0.8011812340699899,-0.09507166406656734,-290.25379039523006,-299.8774255614373,1169.63752840215,1459.8913187973803,4.176470588235294,0.5309531608254177,1621,1422,7,3,0,9.951523092040615,0.7545575405405374,-0.12030788505824158,-367.29997308281156,0.7973713161952185
A1_ROLLING_3D_P95,pooled,8621,4282,4339,0.49669411901171556,0.7416392788259366,-1.0129422447654621,0.7321634403723153,0.5773127273631047,-0.08061860835138912,0.7225452527481572,-0.14145192067099868,-1219.4570081046797,-1222.7097623836846,3175.6993919326605,4395.15640003734,3.3715291357059054,0.48265862428952555,4161,4221,121,118,0,15.829254146850714,0.6743693609392107,-0.17119524972269265,-1475.8742478593333,0.5951623260790126
A1_ROLLING_3D_P97,2018_2020,2401,1112,1289,0.46314035818408994,0.7660590608251867,-0.9956797917300887,0.7693829554319728,0.5651687764539715,-0.10202841826988152,0.6637345589141611,-0.17974742853081072,-431.57357590247653,-438.2529601991106,851.8576756376076,1283.4312515400843,2.190693430656934,0.42648896293211164,1024,1210,88,79,0,22.875468554768847,0.613191127335976,-0.21459220919198851,-515.2358942699644,0.6110510492841597
A1_ROLLING_3D_P97,2021_2022,1412,774,638,0.5481586402266289,0.6812615936087049,-1.0207410354957671,0.6674186399078398,0.5997294117182661,-0.051570771491637246,0.8096896979446206,-0.08777358866371236,-123.93630719316185,-139.97277608507068,527.2964734531375,651.2327806462994,1.9342465753424658,0.5474504249291785,773,635,1,3,0,7.93342776203966,0.7625097725543369,-0.1122032883618871,-158.43104316698458,0.7965387143569189
A1_ROLLING_3D_P97,2023_2024,2200,1147,1053,0.5213636363636364,0.7017163058265037,-1.023436516374046,0.6856471257373429,0.5932439742170685,-0.07188033785343217,0.7468539916626137,-0.12400456770857765,-272.8100489588708,-277.2055091489377,804.8686027829997,1077.6786517418705,3.009575923392613,0.519090909090909,1142,1051,5,2,0,8.172272727272727,0.7046230301530959,-0.14817130860952196,-325.9768789409483,0.7326324596679773
A1_ROLLING_3D_P97,pooled,6013,3033,2980,0.5044071179111924,0.7200866310167309,-1.0108532496403537,0.7123552615307185,0.58399096406319,-0.07958384615199754,0.7250246671888152,-0.13775485316057032,-828.3199320545093,-832.3005500518524,2184.0227518737447,3012.3426839282542,2.3515838873680095,0.4887743223016797,2939,2896,94,84,0,13.987194412107101,0.6778167754330741,-0.16624710067818016,-999.6438163778972,0.6223626602321515
A1_ROLLING_5D_P95,2018_2020,3616,1661,1955,0.4593473451327434,0.7776832457819961,-1.0023618499479503,0.7758508026042481,0.5631103685813701,-0.1037630234486267,0.6591755412407447,-0.18470286100783945,-667.8855454043475,-672.200750295285,1291.7318712438955,1959.6174166482429,3.2992700729927007,0.4303097345132743,1556,1853,105,102,0,21.60813053097345,0.6095543806101825,-0.2194782178030807,-793.6332355759398,0.6238021806855215
A1_ROLLING_5D_P95,2021_2022,1958,1081,877,0.552093973442288,0.6729219729725685,-1.0209553278369328,0.6591101046490133,0.6027327524543955,-0.05063877901210745,0.8124264801888067,-0.08577587830931738,-167.94916972964342,-174.0746666182547,727.4286527833466,895.3778225129901,2.682191780821918,0.550561797752809,1078,872,3,5,0,7.955566905005107,0.7649822000018904,-0.11006700977829982,-215.51120514591105,0.8142516377205106
