candidate_id,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf,pnl,max_dd,guardrail_failures,guardrails_pass,interesting,strong,target,delta_wr,delta_trades_per_day,frequency_uplift_pct,qualification_verdict
A0_BASELINE_075,pooled,689,390,299,0.5660377358490566,0.6392268811010171,-1.0109909682829357,0.6322775387268575,0.6126409120228287,-0.046603176173772076,0.8247098331219882,-0.07690539315994348,-52.98781588720106,-59.57958015890608,249.29848362939669,302.28629951659775,0.26945639421196715,0.5573294629898403,384,295,6,4,0,9.194484760522496,0.7838186120438296,-0.09672026838151442,-66.64026491486344,0.8429659096770507,-52.98781588720106,-59.57958015890608,[],True,False,False,False,0.0,0.0,0.0,not_interesting
A1_ROLLING_1D_P95,pooled,9119,4379,4740,0.4802061629564645,0.7697349713624804,-1.0168619785639939,0.7569709435389602,0.5691613761043541,-0.08895521314788962,0.6993197809614149,-0.15892711249007885,-1449.256338797029,-1455.3874967552945,3370.6694395963013,4819.925778393331,3.5662886194759484,0.46649851957451477,4254,4617,125,123,0,16.243776729904596,0.6510173476325094,-0.19061551781083946,-1738.222906917045,0.5956389544538505,-1449.256338797029,-1455.3874967552945,"['pf', 'mean_r', 'cost_stress_pf', '2018_2020:realized_wr', '2018_2020:pf']",False,False,False,False,-0.08583157289259208,3.2968322252639815,1223.512336719884,rejected_guardrails
A1_ROLLING_1D_P97,pooled,6553,3261,3292,0.4976346711429879,0.7531863069733018,-1.0146374638984554,0.7423206157590495,0.573947177663593,-0.07631250652060512,0.7353303547965554,-0.13490706304193165,-884.0459841137781,-892.5693667932278,2456.1405470399372,3340.1865311537154,2.5627688697692608,0.48145887379826036,3155,3200,106,92,0,16.731573325194567,0.6852270993786099,-0.16568023479118515,-1085.7025785866363,0.6409652065048869,-884.0459841137781,-892.5693667932278,"['pf', 'mean_r', 'cost_stress_pf', '2018_2020:pf']",False,False,False,False,-0.06840306470606866,2.293312475557294,851.0885341074021,rejected_guardrails
A1_ROLLING_3D_P95,pooled,8621,4282,4339,0.49669411901171556,0.7416392788259366,-1.0129422447654621,0.7321634403723153,0.5773127273631047,-0.08061860835138912,0.7225452527481572,-0.14145192067099868,-1219.4570081046797,-1222.7097623836846,3175.6993919326605,4395.15640003734,3.3715291357059054,0.48265862428952555,4161,4221,121,118,0,15.829254146850714,0.6743693609392107,-0.17119524972269265,-1475.8742478593333,0.5951623260790126,-1219.4570081046797,-1222.7097623836846,"['pf', 'mean_r', 'cost_stress_pf', '2018_2020:realized_wr', '2018_2020:pf']",False,False,False,False,-0.06934361683734103,3.1020727414939384,1151.2336719883888,rejected_guardrails
A1_ROLLING_3D_P97,pooled,6013,3033,2980,0.5044071179111924,0.7200866310167309,-1.0108532496403537,0.7123552615307185,0.58399096406319,-0.07958384615199754,0.7250246671888152,-0.13775485316057032,-828.3199320545093,-832.3005500518524,2184.0227518737447,3012.3426839282542,2.3515838873680095,0.4887743223016797,2939,2896,94,84,0,13.987194412107101,0.6778167754330741,-0.16624710067818016,-999.6438163778972,0.6223626602321515,-828.3199320545093,-832.3005500518524,"['pf', 'mean_r', 'cost_stress_pf', '2018_2020:pf']",False,False,False,False,-0.061630617937864174,2.0821274931560425,772.7140783744558,rejected_guardrails
A1_ROLLING_5D_P95,pooled,8398,4261,4137,0.5073827101690879,0.7239297425692525,-1.0131933097125392,0.714503082116328,0.5832593772684455,-0.07587666709935759,0.7359191764316348,-0.1318071075486055,-1106.916089193189,-1115.4607651782944,3084.6646330875847,4191.580722280774,3.284317559640203,0.4938080495356037,4147,4028,114,109,0,14.406287211240771,0.6876706902352734,-0.16060410757971041,-1348.753295454408,0.6261245336187606,-1106.916089193189,-1115.4607651782944,"['pf', 'mean_r', 'cost_stress_pf', '2018_2020:pf']",False,False,False,False,-0.05865502567996872,3.0148611654282362,1118.8679245283017,rejected_guardrails
A1_ROLLING_5D_P97,pooled,5799,2952,2847,0.5090532850491464,0.7070569318994294,-1.013434942400535,0.6976835930134947,0.5890379126683656,-0.0799846276192192,0.7234148108801673,-0.13761290188777509,-798.0172180472077,-800.5668841884166,2087.232062967116,2885.2492810143235,2.267892061008995,0.4943955854457665,2867,2782,85,65,0,13.496464907742714,0.677377403565093,-0.1651465206634022,-957.6846733270695,0.6330787666839177,-798.0172180472077,-800.5668841884166,"['pf', 'mean_r', 'cost_stress_pf', '2018_2020:pf']",False,False,False,False,-0.05698445079991021,1.9984356667970278,741.6545718432511,rejected_guardrails
A2_SESSION_P95,pooled,12546,5419,7127,0.431930495775546,0.9049894036272791,-1.019071311518677,0.8880530669425022,0.5296461299254643,-0.09771563414991835,0.6752293489212038,-0.1880108129234326,-2358.7836589373856,-2364.802012953591,4904.137578256225,7262.92123719361,4.906531091122409,0.40913438546150166,5133,6853,286,274,0,25.018332536266538,0.6221646647292275,-0.2278876690598792,-2859.0786960252444,0.5515080480183793,-2358.7836589373856,-2364.802012953591,"['pf', 'mean_r', 'cost_stress_pf', '2018_2020:realized_wr', '2018_2020:pf']",False,False,False,False,-0.1341072400735106,4.637074696910442,1720.8998548621191,rejected_guardrails
A2_SESSION_P97,pooled,10186,4389,5797,0.43088552915766737,0.9034914021227248,-1.0198494951554267,0.8859066032925097,0.53024895201817,-0.09936342286050265,0.6707338419615015,-0.19110973488114766,-1946.64375949937,-1947.8575412040768,3965.4237639166395,5912.067523416009,3.9835745013687918,0.40702925584135086,4146,5570,243,227,0,26.64186137836246,0.6179489551816684,-0.23099373467743994,-2352.9021814244034,0.50663364702252,-1946.64375949937,-1947.8575412040768,"['pf', 'mean_r', 'cost_stress_pf', '2018_2020:realized_wr', '2018_2020:pf', '2021_2022:realized_wr']",False,False,False,False,-0.13515220669138922,3.7141181071568248,1378.3744557329462,rejected_guardrails
A3_3D_F065_P95,pooled,6789,3628,3161,0.5343938724407129,0.689238898593587,-1.0158934747707626,0.6784558772258228,0.5957856942017535,-0.06139182176104063,0.7786896306786729,-0.10468118274456427,-710.6805496528468,-712.9527024978028,2500.5587240975337,3211.2392737503806,2.6550645287446226,0.5283546914125792,3587,3116,41,45,0,9.732213875386655,0.7325061083504923,-0.1297147494810161,-880.6334342266184,0.7045212076128486,-710.6805496528468,-712.9527024978028,"['pf', 'cost_stress_pf']",False,False,False,False,-0.031643863408343686,2.3856081345326556,885.3410740203193,rejected_guardrails
