model_id,fold,trades,wins,losses,realized_wr,average_winner_r,average_loser_r,payoff_ratio,break_even_wr,break_even_adjusted_edge,pf,mean_r,pnl_r,max_dd_r,gross_profit_r,gross_loss_r,trades_per_day,tp_first_wr,tp_count,sl_count,profitable_timeout_count,losing_timeout_count,cohort_end_count,average_hold_minutes,cost_stress_pf,cost_stress_mean_r,cost_stress_pnl_r,risk_sized_pf,raw_qualifying_rows,independent_episodes,session_blocked_rows,rsi_floor_blocked_rows,rsi_range_blocked_rows,spread_blocked_rows,position_blocked_rows,risk_cooldown_blocked_rows,daily_loss_blocked_rows,legacy_pause_blocked_rows,eligible_flat_rows,entries,later_entries_in_episode,entries_after_prior_close_same_episode
B0_technical_control,2018_2020,498,289,209,0.5803212851405622,0.6329346117086618,-1.0098356118488245,0.6267699458032324,0.6147150693186927,-0.03439378417813044,0.8666818867805465,-0.05650108452329521,-28.137540092601014,-49.51106078985202,182.91810278380328,211.0556428764043,0.4543795620437956,0.5682730923694779,283,206,6,3,0,9.738955823293173,0.8245699200504323,-0.07578608548818563,-37.741470573116445,0.8804660929419086,,,,,,,,,,,,,,
B0_technical_control,2021_2022,24,14,10,0.5833333333333334,0.6376800663386331,-1.0197947009612267,0.6253023924693624,0.6152701211992158,-0.03193678786588239,0.8754233494571074,-0.05293442003630857,-1.2704260808714056,-6.853080533085027,8.927520928740863,10.197947009612268,0.03287671232876712,0.5833333333333334,14,10,0,0,0,8.0,0.8291714015669357,-0.07399650019845132,-1.7759160047628315,0.8687096418235059,,,,,,,,,,,,,,
B0_technical_control,2023_2024,167,87,80,0.5209580838323353,0.6603777001937072,-1.0129088703822642,0.6519616122469988,0.6053409429047202,-0.08438285907238485,0.7090082533186111,-0.1411967048726265,-23.579849713728628,-24.300883320606264,57.452859916852525,81.03270963058114,0.22845417236662108,0.5209580838323353,87,79,0,1,0,7.74251497005988,0.6721445480673458,-0.16241244513164174,-27.12287833698417,0.6945932105189068,,,,,,,,,,,,,,
B0_technical_control,pooled,689,390,299,0.5660377358490566,0.6392268811010171,-1.0109909682829357,0.6322775387268575,0.6126409120228287,-0.046603176173772076,0.8247098331219882,-0.07690539315994348,-52.98781588720106,-59.57958015890608,249.29848362939669,302.28629951659775,0.26945639421196715,0.5573294629898403,384,295,6,4,0,9.194484760522496,0.7838186120438296,-0.09672026838151442,-66.64026491486344,0.8429659096770507,6136,1692,1824,685,587,455,1238,650,8,0,689,689,219,78
B1_technical_plus_macro,2018_2020,432,242,190,0.5601851851851852,0.6424427928125256,-1.0066331153187764,0.6382094757622587,0.6104225465639552,-0.050237361378769996,0.8128773322866664,-0.08284522233781563,-35.78913604993635,-37.7511819100197,155.4711558606312,191.26029191056753,0.39416058394160586,0.5532407407407407,239,186,3,4,0,9.555555555555555,0.7716346957971277,-0.10324335103347657,-44.601127646461876,0.8052250077653528,,,,,,,,,,,,,,
B1_technical_plus_macro,2021_2022,14,8,6,0.5714285714285714,0.6429580619905866,-1.0186170629394165,0.6312068444398593,0.6130430382931543,-0.04161446686458292,0.8416091259198123,-0.06914556297941471,-0.9680378817118059,-2.8902310008571375,5.143664495924693,6.111702377636499,0.019178082191780823,0.5714285714285714,8,6,0,0,0,5.785714285714286,0.7992017001638149,-0.08926064957509075,-1.2496490940512706,0.8364213209578168,,,,,,,,,,,,,,
B1_technical_plus_macro,2023_2024,181,88,93,0.4861878453038674,0.6716094165388429,-1.0134568436655922,0.6626916782264605,0.6014344169128625,-0.1152465716089951,0.6270630933755755,-0.19419810942255195,-35.1498578054819,-35.535931216829994,59.101628655418175,94.25148646090007,0.2476060191518468,0.4861878453038674,88,92,0,1,0,6.779005524861878,0.595570405502819,-0.21487436820565078,-38.89226064522279,0.6014332184918485,,,,,,,,,,,,,,
B1_technical_plus_macro,pooled,627,338,289,0.5390749601275917,0.6500486657158996,-1.0090777880591835,0.6442007478592657,0.6081982393585399,-0.06912327923094819,0.7534250961122207,-0.11468426114374812,-71.90703173713007,-71.90703173713004,219.71644901197405,291.62348074910403,0.24520922956589752,0.5342902711323764,335,284,3,5,0,8.669856459330143,0.7153362107238221,-0.13515635946688345,-84.74303738573593,0.7567261696133714,6831,1607,2269,656,719,366,1267,927,0,0,627,627,250,112
