model_id,fold,observations,spearman_score_realized_net_r,spearman_score_positive_net_r,top_decile_count,top_decile_wr,top_decile_pf,top_decile_mean_r,top_decile_pnl_r,top_quintile_count,top_quintile_wr,top_quintile_pf,top_quintile_mean_r,top_quintile_pnl_r
B0_technical_control,2018_2020,1058080,0.22608693200648425,0.12356304978147963,105808,0.501795705428701,0.6453010376909852,-0.17441439602567838,-18454.438414684977,211616,0.4600219265083926,0.6248824998217949,-0.2021494310863518,-42778.054008769424
B0_technical_control,2021_2022,708197,0.3365827575554652,0.15754779115025858,70819,0.5398410031206314,0.7757029002711064,-0.10550631700084503,-7471.851863682845,141639,0.5006318881099132,0.7315141345821365,-0.1377548749600387,-19511.46273446492
B0_technical_control,2023_2024,708020,0.326253380668032,0.16414969182033026,70802,0.5411287816728341,0.7931684171439239,-0.09689217233707592,-6860.15958580965,141604,0.5199923730968051,0.7802047132652153,-0.10814556484884427,-15313.844564855744
B0_technical_control,pooled,2474297,0.29006366478201323,0.1413559596682513,247429,0.5230914727053013,0.7214634681339611,-0.13362516057222326,-33062.73985522463,494859,0.4877652018049586,0.6956121020778562,-0.15795575250743074,-78165.82573007466
B1_technical_plus_macro,2018_2020,1058080,0.22048770918351354,0.11996425110786557,105808,0.4952272039921367,0.6375349859179242,-0.18098181452570397,-19149.323831335685,211616,0.4554192499621957,0.6172909556007541,-0.20794985215564762,-44005.51591376953
B1_technical_plus_macro,2021_2022,708197,0.33659948828012826,0.15721872986568297,70819,0.5370592637569014,0.7692850507755615,-0.1092128857486593,-7734.347355834303,141639,0.49833026214531306,0.7266363974395632,-0.14094012344556933,-19962.618144706994
B1_technical_plus_macro,2023_2024,708020,0.3247745680998831,0.16238487152893452,70802,0.5388407107143866,0.7871745483190123,-0.10019190883217481,-7093.787529135641,141604,0.5198723199909607,0.778149302696463,-0.10922029921856947,-15466.031250546312
B1_technical_plus_macro,pooled,2474297,0.2868005663911882,0.1393384683584693,247429,0.5195146890623169,0.7151142379520973,-0.13781137782552003,-34098.53140399059,494859,0.4851988142076834,0.6907292857472195,-0.16130338440599765,-79822.43150376758
