model_id,fold,decile,observations,mean_probability,realized_wr,pf,mean_r,pnl_r
B0_technical_control,2018_2020,1,105808,0.3349260715995185,0.2693652653863602,0.4156881228552418,-0.40592850634280475,-42950.48339911948
B0_technical_control,2018_2020,2,105808,0.43327102961003755,0.29769960683502195,0.5200947152475567,-0.3430771464864967,-36300.30671544324
B0_technical_control,2018_2020,3,105808,0.462770973979068,0.29116890972327236,0.5016461370272294,-0.35922220538623983,-38008.583107507264
B0_technical_control,2018_2020,4,105808,0.48395183985230694,0.29170762135188266,0.5004640618701142,-0.360085184503123,-38099.89320190644
B0_technical_control,2018_2020,5,105808,0.5026574165325256,0.29576213518826555,0.5049156515938757,-0.3544660953930517,-37505.348621348014
B0_technical_control,2018_2020,6,105808,0.522238491522451,0.3005065779525178,0.505150420746494,-0.35246493715410954,-37293.61007040202
B0_technical_control,2018_2020,7,105808,0.5454722085180972,0.31787766520489946,0.5367500356377799,-0.320290735893854,-33889.322183456905
B0_technical_control,2018_2020,8,105808,0.5768208856913113,0.35007749886587025,0.5684562553768727,-0.28267271264865856,-29909.034379929264
B0_technical_control,2018_2020,9,105808,0.6243125459447708,0.4182481475880841,0.6077508398136937,-0.22988446614702518,-24323.61559408444
B0_technical_control,2018_2020,10,105808,0.6918782388458233,0.501795705428701,0.6453010376909852,-0.17441439602567838,-18454.438414684977
B0_technical_control,2021_2022,1,70820,0.33986017171801636,0.27879130189212087,0.5105808784497726,-0.3673289550704904,-26014.23659809213
B0_technical_control,2021_2022,2,70820,0.385442680945692,0.28991810223100817,0.5499450538232085,-0.3366276093102225,-23839.96729134996
B0_technical_control,2021_2022,3,70820,0.4098669427034882,0.2924738774357526,0.5630267366091644,-0.32419482454487814,-22959.47747426827
B0_technical_control,2021_2022,4,70819,0.4295886161215625,0.29629054349821377,0.5701447905417523,-0.316902693808451,-22442.731872820692
B0_technical_control,2021_2022,5,70820,0.449352677106285,0.3050691894944931,0.5798826035639919,-0.305920512866938,-21665.29072123655
B0_technical_control,2021_2022,6,70820,0.47387857515027176,0.3309517085569048,0.6079570147579447,-0.2739409463665738,-19400.497821680758
B0_technical_control,2021_2022,7,70819,0.507263737582644,0.3574746889958909,0.6171907776748506,-0.25631889026417204,-18152.2474896184
B0_technical_control,2021_2022,8,70820,0.545876312166646,0.40148263202485174,0.6605480226704409,-0.21100417611768038,-14943.315752654125
B0_technical_control,2021_2022,9,70820,0.6017102683585298,0.46142332674385766,0.6941149368982723,-0.17000297755975816,-12039.610870782073
B0_technical_control,2021_2022,10,70819,0.6691780841502557,0.5398410031206314,0.7757029002711064,-0.10550631700084503,-7471.851863682845
B0_technical_control,2023_2024,1,70802,0.3608816645012219,0.28983644529815544,0.5662996307262529,-0.31564699123850615,-22348.43827366871
B0_technical_control,2023_2024,2,70802,0.4063981351040941,0.30257619841247424,0.6359048901874498,-0.265705407229427,-18812.47424265789
B0_technical_control,2023_2024,3,70802,0.4300246468247244,0.30935566791898533,0.6548353465852167,-0.2524238896385224,-17872.116234186666
B0_technical_control,2023_2024,4,70802,0.4506971572342776,0.32141747408265303,0.676016249890749,-0.23225778482513462,-16444.315681189182
B0_technical_control,2023_2024,5,70802,0.47395668656357076,0.3409225728086777,0.6952802541147245,-0.21182611110801253,-14997.712318669503
B0_technical_control,2023_2024,6,70802,0.5037164545332636,0.3687325216801785,0.7141519945337754,-0.1894498976096086,-13413.431650555507
B0_technical_control,2023_2024,7,70802,0.5429793735804294,0.40517217027767577,0.7269447783203978,-0.16991841030657906,-12030.56328652641
B0_technical_control,2023_2024,8,70802,0.5818720354639485,0.43853280980763254,0.7306891357607374,-0.15751210106669966,-11152.17177972447
B0_technical_control,2023_2024,9,70802,0.6383347543913181,0.49885596452077624,0.7684262185148015,-0.1193989573606126,-8453.684979046093
B0_technical_control,2023_2024,10,70802,0.6993237956897448,0.5411287816728341,0.7931684171439239,-0.09689217233707592,-6860.15958580965
B0_technical_control,pooled,1,247430,0.3402657827502062,0.278264559673443,0.49584388686763325,-0.3651986865174341,-90361.11100500872
B0_technical_control,pooled,2,247430,0.40665714636192707,0.29524714060542373,0.572027994963274,-0.3137885563217095,-77640.70249068057
B0_technical_control,pooled,3,247430,0.43443858652532485,0.30163682657721375,0.5844659640522423,-0.30255184787145967,-74860.40371883527
B0_technical_control,pooled,4,247429,0.45840047076208085,0.3091553536570087,0.5838075127153507,-0.2983542037058417,-73821.48226873271
B0_technical_control,pooled,5,247430,0.4824506759283417,0.3167158388231015,0.5747915251729221,-0.29967593863445524,-74148.81749632326
B0_technical_control,pooled,6,247430,0.507450970513151,0.32397445742230124,0.5667671056045148,-0.3011412909522624,-74511.38962031828
B0_technical_control,pooled,7,247429,0.535884697279673,0.3469075977351079,0.5890429655584878,-0.27555184924969733,-68179.51850800336
B0_technical_control,pooled,8,247430,0.5711065266132161,0.38762074121973894,0.6366743317126641,-0.2277803040784265,-56359.68063812507
B0_technical_control,pooled,9,247430,0.621780394745139,0.4524390736774037,0.6733911937721788,-0.18228624610940486,-45103.08587485005
B0_technical_control,pooled,10,247429,0.6892403950206695,0.5230914727053013,0.7214634681339611,-0.13362516057222326,-33062.73985522463
B1_technical_plus_macro,2018_2020,1,105808,0.3321744028869529,0.26976221079691515,0.4197989621459301,-0.4041504285307837,-42762.348541985164
B1_technical_plus_macro,2018_2020,2,105808,0.4326245111762423,0.3007617571450174,0.5319039306472056,-0.3332035070053442,-35255.59666922146
B1_technical_plus_macro,2018_2020,3,105808,0.4624101257760911,0.29218962649327085,0.49820202305019823,-0.36090426565571454,-38186.55854049984
B1_technical_plus_macro,2018_2020,4,105808,0.4843847429249974,0.29097988809919856,0.49969175699518537,-0.3619291836896778,-38295.00306783743
B1_technical_plus_macro,2018_2020,5,105808,0.5031264661997895,0.29749168304854073,0.5132343245259583,-0.3471297945688902,-36729.109303745136
B1_technical_plus_macro,2018_2020,6,105808,0.5222302330845147,0.30296385906547707,0.5119890712455876,-0.3450000291590641,-36503.76308526225
B1_technical_plus_macro,2018_2020,7,105808,0.5452267564624733,0.318926735218509,0.5307484868374401,-0.32382171890320544,-34262.92843371036
B1_technical_plus_macro,2018_2020,8,105808,0.5766153046245854,0.3502948737335551,0.5570690718278574,-0.2904677541570661,-30733.81213185085
B1_technical_plus_macro,2018_2020,9,105808,0.6236433829043585,0.41561129593225465,0.6000834007348315,-0.2349178897855913,-24856.192082433845
B1_technical_plus_macro,2018_2020,10,105808,0.690772609573106,0.4952272039921367,0.6375349859179242,-0.18098181452570397,-19149.323831335685
B1_technical_plus_macro,2021_2022,1,70820,0.34667702924877836,0.2754306693024569,0.5006248032517291,-0.377273178255713,-26718.486484069595
