group,observations,positive_net_r_rate,realized_wr,pf,mean_r,pnl_r,max_dd_r
window_0_15,4560,0.5048245614035087,0.5048245614035087,0.7505952305844497,-0.1255450829800269,-572.4855783889227,-588.1709401737722
window_15_60,13680,0.48757309941520466,0.48757309941520466,0.7000306960339777,-0.15744495584240445,-2153.846995924093,-2171.0891961559046
window_60_240,51542,0.4426487136704047,0.4426487136704047,0.6669396042729796,-0.1904517301022884,-9816.26307293215,-9845.075268729799
window_gt_or_equal_240,2404515,0.3505447044414362,0.3505447044414362,0.5911827659990511,-0.27261478336748024,-655506.3358288568,-655782.6650828968
event_CPI,19919,0.4600632561875596,0.4600632561875596,0.7100956549969332,-0.1620005265360187,-3226.8884880709566,-3337.0625568345595
event_EMPLOYMENT,19680,0.47479674796747967,0.47479674796747967,0.703897607708247,-0.15971581364768753,-3143.2072125864906,-3144.285145098525
event_PCE,19680,0.4294207317073171,0.4294207317073171,0.629018470602682,-0.21840790196198856,-4298.267510611935,-4312.621139511515
event_FOMC,10503,0.4596781871846139,0.4596781871846139,0.6662814093155961,-0.1784473422808514,-1874.2324359757822,-1899.5518717953603
