report_date,availability_time_utc,COT_MM_NET_PCT_OI,COT_MM_NET_CHG_1W,COT_PROD_NET_PCT_OI,COT_SWAP_NET_PCT_OI,COT_MM_VS_PROD_SPREAD
2016-01-05,2016-01-09 05:00:00+00:00,-0.038500029007367868,0.029184354390661395,-0.10841987198081646,0.061826787337317009,0.069919842973448582
2016-01-12,2016-01-16 05:00:00+00:00,0.00023140870046407507,0.038731437707831946,-0.130330889288544,0.020701017443688453,0.13056229798900806
2016-01-19,2016-01-23 05:00:00+00:00,0.0010737828219208238,0.00084237412145674875,-0.11975980530042682,0.021571049445375273,0.12083358812234764
2016-01-26,2016-01-30 05:00:00+00:00,0.043604515375632542,0.042530732553711717,-0.13652264175424939,-0.018746594005449591,0.18012715712988192
2016-02-02,2016-02-06 05:00:00+00:00,0.076574759022640659,0.032970243647008117,-0.14765879451982541,-0.056344528396429186,0.22423355354246607
2016-02-09,2016-02-13 05:00:00+00:00,0.14759281751952741,0.071018058496886749,-0.16488451511928204,-0.090506361465607685,0.31247733263880945
2016-02-16,2016-02-20 05:00:00+00:00,0.18888023650539038,0.041287418985862967,-0.19998274704368263,-0.10773538627970307,0.388862983549073
2016-02-23,2016-02-27 05:00:00+00:00,0.24500213344112826,0.056121896935737881,-0.23343888252599429,-0.1329493139302477,0.47844101596712252
2016-03-01,2016-03-05 05:00:00+00:00,0.23164763458401305,-0.013354498857115205,-0.25006270044722617,-0.13042580816992377,0.48171033503123922
2016-03-08,2016-03-12 05:00:00+00:00,0.25530844903928995,0.023660814455276902,-0.25242331349802649,-0.13901745106289196,0.50773176253731644
2016-03-15,2016-03-19 04:00:00+00:00,0.26319343887273217,0.007884989833442213,-0.25137399966740082,-0.12489099264631322,0.51456743854013298
2016-03-22,2016-03-26 04:00:00+00:00,0.28379349718652747,0.0206000583137953,-0.25513583598228678,-0.13656456689366386,0.53892933316881431
2016-03-29,2016-04-02 04:00:00+00:00,0.32095216885449601,0.037158671667968546,-0.26327839304334794,-0.1695642310197914,0.58423056189784395
2016-04-05,2016-04-09 04:00:00+00:00,0.32221036334566561,0.0012581944911695953,-0.27382544389931113,-0.16331360447506191,0.59603580724497673
2016-04-12,2016-04-16 04:00:00+00:00,0.3382085653181322,0.015998201972466597,-0.28381857715109121,-0.17559952668163789,0.62202714246922342
2016-04-19,2016-04-23 04:00:00+00:00,0.34590955057407552,0.0077009852559433156,-0.29051856531785247,-0.18654523564016523,0.63642811589192805
2016-04-26,2016-04-30 04:00:00+00:00,0.34556242016212613,-0.00034713041194939231,-0.29447622337733287,-0.18778068787107036,0.64003864353945894
2016-05-03,2016-05-07 04:00:00+00:00,0.38689476716851606,0.041332347006389936,-0.3004167741889871,-0.22081785306500476,0.68731154135750316
2016-05-10,2016-05-14 04:00:00+00:00,0.36426246643105886,-0.022632300737457201,-0.2726910519044391,-0.21887035877587419,0.63695351833549796
2016-05-17,2016-05-21 04:00:00+00:00,0.35699749780280537,-0.0072649686282534875,-0.25040624994748578,-0.23733399207161426,0.60740374775029116
2016-05-24,2016-05-28 04:00:00+00:00,0.28816409372363977,-0.068833404079165605,-0.17842632395139219,-0.23636266525219263,0.46659041767503195
2016-05-31,2016-06-04 04:00:00+00:00,0.300636630853231,0.012472537129591232,-0.19212010009690059,-0.24087384513302085,0.49275673095013162
2016-06-07,2016-06-11 04:00:00+00:00,0.35735498559426188,0.056718354741030874,-0.24464972901094031,-0.2463381218141156,0.60200471460520222
2016-06-14,2016-06-18 04:00:00+00:00,0.42034850565776177,0.062993520063499897,-0.27554427650144769,-0.27102796883509334,0.69589278215920947
2016-06-21,2016-06-25 04:00:00+00:00,0.43814619687603346,0.017797691218271683,-0.26093187079299479,-0.2852233616847793,0.69907806766902825
2016-06-28,2016-07-02 04:00:00+00:00,0.42530694437203481,-0.012839252503998644,-0.24371611229862886,-0.2879314165059173,0.66902305667066364
2016-07-05,2016-07-09 04:00:00+00:00,0.41820540269016543,-0.0071015416818693833,-0.22835317341811504,-0.29266077666542617,0.64655857610828049
2016-07-12,2016-07-16 04:00:00+00:00,0.40935357492654262,-0.0088518277636228104,-0.22397870525417837,-0.29014723073520582,0.63333228018072096
2016-07-19,2016-07-23 04:00:00+00:00,0.40902557088429331,-0.00032800404224930801,-0.22023955181673363,-0.29101121592560963,0.62926512270102697
