block,total_gold_timestamps,constructable_rows,unresolved_rows,future_leak_rows,first_effective_report_date,last_effective_report_date,finite_pct_all_five,matrix_sha256
fold1_train,530218,530218,0,0,2016-06-21,2017-12-19,100.0,450a4349d053b6a23fd1b70b88fae34a9e77c8095d3ce7113d0e992ad22d4610
fold1_score,1058080,1058080,0,0,2017-12-26,2020-12-21,100.0,e4fca6334c4863dbbeecb59a7eda5dbad95b7a52ca834cf1ae38d32f5d5eed3a
fold2_train,532563,532563,0,0,2019-06-25,2020-12-21,100.0,f4cacf7bd62f08ed9bc49e84ecd2161455ea665418b58772b3bc525d56778fd0
fold2_score,708197,708197,0,0,2020-12-29,2022-12-20,100.0,bff96818968a471670969b9b34b4d4f56bc4dc713d105837c0518f9ca062d0b3
fold3_train,533580,533580,0,0,2021-06-22,2022-12-20,100.0,0e4923e7ddf5c5d89b117a95a35bdb45842b0544c6a011f036f5361ec88c6ebf
fold3_score,708020,708020,0,0,2022-12-27,2024-12-24,100.0,b347390c870d518ac625941bced4fe5f7cd58af0a0ca17a224aaed220f4567a0
