instrument,hour_utc,url,acquisition_1_status,acquisition_2_status,acquisition_1_body_sha256,acquisition_2_body_sha256,acquisition_1_tick_sha256,acquisition_2_tick_sha256,acquisition_1_ticks,acquisition_2_ticks,state,decode_error_1,decode_error_2
GBP/USD,2024-12-25T18:00:00+00:00,https://datafeed.dukascopy.com/datafeed/GBPUSD/2024/11/25/18h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
GBP/USD,2024-12-25T19:00:00+00:00,https://datafeed.dukascopy.com/datafeed/GBPUSD/2024/11/25/19h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
GBP/USD,2024-12-25T20:00:00+00:00,https://datafeed.dukascopy.com/datafeed/GBPUSD/2024/11/25/20h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
GBP/USD,2024-12-25T21:00:00+00:00,https://datafeed.dukascopy.com/datafeed/GBPUSD/2024/11/25/21h_ticks.bi5,503,200,839488ebc08446a096a893996ed23eac321ac166724cd8c5d9092057834d2d79,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,,0.0,retrieval_error,,
GBP/USD,2024-12-25T22:00:00+00:00,https://datafeed.dukascopy.com/datafeed/GBPUSD/2024/11/25/22h_ticks.bi5,200,200,63c13b9b403ed98d4cdff710963bdd4a4ffb567d64c01da7e5e067dd50502df8,63c13b9b403ed98d4cdff710963bdd4a4ffb567d64c01da7e5e067dd50502df8,c53239e036186188fd8c793298af4c5a8b8cb521f36d63c8f0b603db9976977e,c53239e036186188fd8c793298af4c5a8b8cb521f36d63c8f0b603db9976977e,692.0,692.0,ticks,,
GBP/USD,2024-12-27T20:00:00+00:00,https://datafeed.dukascopy.com/datafeed/GBPUSD/2024/11/27/20h_ticks.bi5,200,200,3d58a536b7acfb938705f24edcd8463e84f645a4e49f5181a18a988663c9f1ba,3d58a536b7acfb938705f24edcd8463e84f645a4e49f5181a18a988663c9f1ba,7ff5492f81f3ecc411c570cf1d416bdfa4d05ffa045ce7d576c093ce532e3ff9,7ff5492f81f3ecc411c570cf1d416bdfa4d05ffa045ce7d576c093ce532e3ff9,3593.0,3593.0,ticks,,
GBP/USD,2024-12-27T21:00:00+00:00,https://datafeed.dukascopy.com/datafeed/GBPUSD/2024/11/27/21h_ticks.bi5,503,200,839488ebc08446a096a893996ed23eac321ac166724cd8c5d9092057834d2d79,69f2b3693190f00e74ba1786f762267bcef56e7c92dda5552471905121afef0f,,43cbdbe2f1a984d26049fcce6209ac5560977e26985e577d68a23b0aa241518d,,3503.0,retrieval_error,,
GBP/USD,2024-12-27T22:00:00+00:00,https://datafeed.dukascopy.com/datafeed/GBPUSD/2024/11/27/22h_ticks.bi5,503,200,839488ebc08446a096a893996ed23eac321ac166724cd8c5d9092057834d2d79,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,,0.0,retrieval_error,,
GBP/USD,2024-12-27T23:00:00+00:00,https://datafeed.dukascopy.com/datafeed/GBPUSD/2024/11/27/23h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
GBP/USD,2024-12-28T00:00:00+00:00,https://datafeed.dukascopy.com/datafeed/GBPUSD/2024/11/28/00h_ticks.bi5,200,200,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,f5fa06f76fb6420fba9641c08351c44ed50e047492fe618e9042265cb44914ec,0.0,0.0,verified_no_tick_hour,,
