start_utc,end_utc,exact_rows
2016-11-21T00:15:00+00:00,2016-11-21T00:15:00+00:00,1
2016-11-21T01:00:00+00:00,2016-11-21T01:00:00+00:00,1
2016-11-28T00:00:00+00:00,2016-11-28T00:01:00+00:00,2
2016-11-28T00:05:00+00:00,2016-11-28T00:05:00+00:00,1
2016-11-28T00:15:00+00:00,2016-11-28T00:15:00+00:00,1
2016-11-28T01:00:00+00:00,2016-11-28T01:00:00+00:00,1
2016-12-05T00:00:00+00:00,2016-12-05T00:01:00+00:00,2
2016-12-05T00:05:00+00:00,2016-12-05T00:05:00+00:00,1
2016-12-05T00:15:00+00:00,2016-12-05T00:15:00+00:00,1
2016-12-05T01:00:00+00:00,2016-12-05T01:00:00+00:00,1
2016-12-06T18:23:00+00:00,2016-12-06T18:24:00+00:00,2
2016-12-06T18:28:00+00:00,2016-12-06T18:28:00+00:00,1
2016-12-06T18:38:00+00:00,2016-12-06T18:38:00+00:00,1
2016-12-06T19:23:00+00:00,2016-12-06T19:23:00+00:00,1
2016-12-12T00:00:00+00:00,2016-12-12T00:01:00+00:00,2
2016-12-12T00:05:00+00:00,2016-12-12T00:05:00+00:00,1
2016-12-12T00:15:00+00:00,2016-12-12T00:15:00+00:00,1
2016-12-12T01:00:00+00:00,2016-12-12T01:00:00+00:00,1
2016-12-19T00:00:00+00:00,2016-12-19T00:01:00+00:00,2
2016-12-19T00:05:00+00:00,2016-12-19T00:05:00+00:00,1
2016-12-19T00:15:00+00:00,2016-12-19T00:15:00+00:00,1
2016-12-19T01:00:00+00:00,2016-12-19T01:00:00+00:00,1
2016-12-26T22:00:00+00:00,2016-12-26T22:00:00+00:00,1
2016-12-26T23:06:00+00:00,2016-12-26T23:09:00+00:00,4
2016-12-26T23:28:00+00:00,2016-12-26T23:29:00+00:00,2
2016-12-26T23:51:00+00:00,2016-12-26T23:54:00+00:00,4
2017-01-09T00:00:00+00:00,2017-01-09T00:01:00+00:00,2
2017-01-09T00:05:00+00:00,2017-01-09T00:05:00+00:00,1
2017-01-09T00:15:00+00:00,2017-01-09T00:15:00+00:00,1
2017-01-09T01:00:00+00:00,2017-01-09T01:00:00+00:00,1
2017-01-16T00:00:00+00:00,2017-01-16T00:01:00+00:00,2
