report_date,contract_code,contract_name,source_year,open_interest,producer_long,producer_short,swap_long,swap_short,managed_money_long,managed_money_short,COT_MM_NET_PCT_OI,COT_MM_NET_CHG_1W,COT_PROD_NET_PCT_OI,COT_SWAP_NET_PCT_OI,COT_MM_VS_PROD_SPREAD,availability_time_utc
2015-04-14,088691,GOLD - COMMODITY EXCHANGE INC.,2015,395089,23642,83946,59580,102869,110439,62390,0.1216156359706294,-0.020932069824219676,-0.15263396348670805,-0.10956771765349073,0.27424959945733746,2015-04-18 04:00:00+00:00
2015-04-21,088691,GOLD - COMMODITY EXCHANGE INC.,2015,397379,21523,75074,58445,109900,108259,60134,0.12110604737542749,-0.00050958859520190691,-0.13476051829613542,-0.12948595673148305,0.25586656567156291,2015-04-25 04:00:00+00:00
2015-04-28,088691,GOLD - COMMODITY EXCHANGE INC.,2015,403575,18237,71952,57350,110507,114952,64369,0.12533729790001857,0.0042312505245910847,-0.13309793718639659,-0.13171529455491543,0.25843523508641519,2015-05-02 04:00:00+00:00
2015-05-05,088691,GOLD - COMMODITY EXCHANGE INC.,2015,399988,20250,60415,66517,100514,98957,76100,0.057144214326429792,-0.068193083573588775,-0.10041551246537396,-0.084995049851495544,0.15755972679180374,2015-05-09 04:00:00+00:00
2015-05-12,088691,GOLD - COMMODITY EXCHANGE INC.,2015,405612,20691,64014,65253,99432,104207,76488,0.068338707927773343,0.011194493601343551,-0.10680897014881216,-0.084265258424306974,0.17514767807658549,2015-05-16 04:00:00+00:00
2015-05-19,088691,GOLD - COMMODITY EXCHANGE INC.,2015,428597,17951,94860,61564,116989,132306,53689,0.18342872208624886,0.11509001415847551,-0.1794436265302837,-0.12931728406871723,0.36287234861653256,2015-05-23 04:00:00+00:00
2015-05-26,088691,GOLD - COMMODITY EXCHANGE INC.,2015,411961,17429,91862,66036,101323,125069,58825,0.16080162928044159,-0.02262709280580727,-0.18067972453703141,-0.085656166481778609,0.34148135381747302,2015-05-30 04:00:00+00:00
2015-06-02,088691,GOLD - COMMODITY EXCHANGE INC.,2015,398724,16934,90560,67739,102263,125229,63482,0.15486150821119371,-0.0059401210692478779,-0.18465404640804164,-0.086586210009931677,0.33951555461923533,2015-06-06 04:00:00+00:00
2015-06-09,088691,GOLD - COMMODITY EXCHANGE INC.,2015,406069,18488,79791,77467,94753,121125,83486,0.092691143623374356,-0.062170364587819354,-0.15096695389207254,-0.042569120026399454,0.2436580975154469,2015-06-13 04:00:00+00:00
2015-06-16,088691,GOLD - COMMODITY EXCHANGE INC.,2015,415718,16454,75845,76500,93746,124527,89529,0.084186876680826903,-0.0085042669425474532,-0.14286367200842878,-0.041484852712656173,0.22705054868925567,2015-06-20 04:00:00+00:00
2015-06-23,088691,GOLD - COMMODITY EXCHANGE INC.,2015,430978,15949,91484,71617,96970,124843,84927,0.092617256565300315,0.0084303798844734129,-0.17526416661639341,-0.058826668646659461,0.26788142318169372,2015-06-27 04:00:00+00:00
2015-06-30,088691,GOLD - COMMODITY EXCHANGE INC.,2015,442301,16748,81821,77261,86957,115188,99565,0.035322099656116539,-0.057295156909183777,-0.14712379126431999,-0.021921722989547841,0.18244589092043653,2015-07-04 04:00:00+00:00
2015-07-07,088691,GOLD - COMMODITY EXCHANGE INC.,2015,452145,18678,72089,82437,81615,111482,109383,0.0046423160711718588,-0.030679783584944678,-0.11812803414833736,0.0018180008625551538,0.12277035021950922,2015-07-11 04:00:00+00:00
2015-07-14,088691,GOLD - COMMODITY EXCHANGE INC.,2015,462664,22205,74248,81349,77775,108413,109536,-0.0024272474192934827,-0.0070695634904653411,-0.11248551864852246,0.0077248283851780123,0.11005827122922898,2015-07-18 04:00:00+00:00
2015-07-21,088691,GOLD - COMMODITY EXCHANGE INC.,2015,459760,26690,66493,80298,62079,106297,119853,-0.029484948668870716,-0.027057701249577234,-0.086573429615451544,0.039627196798329566,0.057088480946580825,2015-07-25 04:00:00+00:00
2015-07-28,088691,GOLD - COMMODITY EXCHANGE INC.,2015,438282,22082,58546,83026,61828,106284,120917,-0.033387179943506692,-0.0039022312746359762,-0.083197575989887793,0.048366120443002453,0.0498103960463811,2015-08-01 04:00:00+00:00
2015-08-04,088691,GOLD - COMMODITY EXCHANGE INC.,2015,434273,20798,60201,87818,63235,103573,114860,-0.025990563539524676,0.0073966164039820162,-0.090733248440497113,0.056607249356971305,0.06474268490097243,2015-08-08 04:00:00+00:00
2015-08-11,088691,GOLD - COMMODITY EXCHANGE INC.,2015,435489,18426,62110,86266,67040,108507,113937,-0.012468742034816035,0.013521821504708641,-0.10031022597585702,0.044148072626403884,0.087841483941040993,2015-08-15 04:00:00+00:00
2015-08-18,088691,GOLD - COMMODITY EXCHANGE INC.,2015,432728,17508,63587,86133,70002,112075,104158,0.018295557486458006,0.03076429952127404,-0.10648490506738643,0.037277458357212842,0.12478046255384444,2015-08-22 04:00:00+00:00
2015-08-25,088691,GOLD - COMMODITY EXCHANGE INC.,2015,432154,14467,80360,82325,79068,119456,78842,0.093980386621435874,0.075684829134977871,-0.15247573781568607,0.0075366651702865181,0.24645612443712195,2015-08-29 04:00:00+00:00
2015-09-01,088691,GOLD - COMMODITY EXCHANGE INC.,2015,410274,12944,80229,74975,76778,112641,72044,0.098950944978234062,0.0049705583567981881,-0.16400015599331177,-0.004394624080492549,0.26295110097154584,2015-09-05 04:00:00+00:00
2015-09-08,088691,GOLD - COMMODITY EXCHANGE INC.,2015,421732,20513,77612,74098,72978,112684,85859,0.063606745516109758,-0.035344199462124304,-0.13539167053958437,0.0026557150038413022,0.19899841605569413,2015-09-12 04:00:00+00:00
2015-09-15,088691,GOLD - COMMODITY EXCHANGE INC.,2015,413333,17304,60606,78146,67823,104300,95493,0.021307275247802619,-0.042299470268307139,-0.10476298771208686,0.024975020141145277,0.12607026295988949,2015-09-19 04:00:00+00:00
2015-09-22,088691,GOLD - COMMODITY EXCHANGE INC.,2015,419304,19677,75195,69713,71423,107531,86702,0.049675176005952719,0.0283679007581501,-0.13240512849865491,-0.0040781867094041553,0.18208030450460763,2015-09-26 04:00:00+00:00
2015-09-29,088691,GOLD - COMMODITY EXCHANGE INC.,2015,415700,25515,87605,61785,72838,112633,72069,0.097579985566514316,0.047904809560561597,-0.1493625210488333,-0.026588886216021169,0.24694250661534761,2015-10-03 04:00:00+00:00
2015-10-06,088691,GOLD - COMMODITY EXCHANGE INC.,2015,430228,25741,92163,63322,85369,115414,69576,0.10654350716364347,0.0089635215971291538,-0.15438790594754409,-0.051244921297544557,0.26093141311118756,2015-10-10 04:00:00+00:00
2015-10-13,088691,GOLD - COMMODITY EXCHANGE INC.,2015,435928,24080,103595,63188,102167,128350,51137,0.17712328641427025,0.070579779250626778,-0.1824039749683434,-0.089416142115211691,0.35952726138261365,2015-10-17 04:00:00+00:00
2015-10-20,088691,GOLD - COMMODITY EXCHANGE INC.,2015,467792,24068,125536,56278,118110,156199,39855,0.24870882785511508,0.071585541440844835,-0.21690836953175771,-0.13217840407702569,0.46561719738687279,2015-10-24 04:00:00+00:00
2015-10-27,088691,GOLD - COMMODITY EXCHANGE INC.,2015,466780,24021,126967,56525,119427,147660,33568,0.24442349715069198,-0.004285330704423107,-0.22054501049745062,-0.13475727323364325,0.46496850764814257,2015-10-31 04:00:00+00:00
2015-11-03,088691,GOLD - COMMODITY EXCHANGE INC.,2015,443900,26094,115320,64033,99795,116702,49495,0.1514012164902005,-0.09302228066049148,-0.20100473079522416,-0.080563189907636862,0.35240594728542463,2015-11-07 05:00:00+00:00
2015-11-10,088691,GOLD - COMMODITY EXCHANGE INC.,2015,436426,25898,90778,69343,76357,91880,75011,0.038652600899121502,-0.11274861559107899,-0.14866208704339337,-0.016071453121491386,0.18731468794251488,2015-11-14 05:00:00+00:00
2015-11-17,088691,GOLD - COMMODITY EXCHANGE INC.,2015,435376,25079,75078,73481,51955,90510,104433,-0.031979254713167468,-0.070631855612288963,-0.11484096505089854,0.049442321120135239,0.08286171033773107,2015-11-21 05:00:00+00:00
2015-11-24,088691,GOLD - COMMODITY EXCHANGE INC.,2015,397705,25625,67103,66384,36889,91059,107723,-0.041900403565456809,-0.009921148852289341,-0.10429338328660691,0.074163010271432336,0.062392979721150099,2015-11-28 05:00:00+00:00
2015-12-01,088691,GOLD - COMMODITY EXCHANGE INC.,2015,390940,27538,59821,66447,37075,89982,110548,-0.052606538087686089,-0.01070613452222928,-0.082577889190157058,0.075131733769887965,0.029971351102470969,2015-12-05 05:00:00+00:00
2015-12-08,088691,GOLD - COMMODITY EXCHANGE INC.,2015,394128,25951,62512,63378,40814,92488,109910,-0.044203913449437748,0.0084026246382483405,-0.092764279624893434,0.057250436406446635,0.048560366175455685,2015-12-12 05:00:00+00:00
2015-12-15,088691,GOLD - COMMODITY EXCHANGE INC.,2015,390944,20596,61412,68154,35604,83617,110836,-0.069623782434312845,-0.025419868984875096,-0.10440369976262585,0.083260006548252441,0.034779917328313009,2015-12-19 05:00:00+00:00
2015-12-22,088691,GOLD - COMMODITY EXCHANGE INC.,2015,405294,19453,73397,70804,39111,79979,100041,-0.049499869230731269,0.020123913203581575,-0.13309844211856084,0.078197555354878184,0.08359857288782957,2015-12-26 05:00:00+00:00
2015-12-29,088691,GOLD - COMMODITY EXCHANGE INC.,2015,401880,23044,67018,65832,37193,76071,103272,-0.067684383398029263,-0.018184514167297994,-0.10942072260376232,0.07126256594008161,0.041736339205733053,2016-01-02 05:00:00+00:00
2016-01-05,088691,GOLD - COMMODITY EXCHANGE INC.,2016,413688,22948,67800,62783,37206,79732,95659,-0.038500029007367868,0.029184354390661395,-0.10841987198081646,0.061826787337317009,0.069919842973448582,2016-01-09 05:00:00+00:00
2016-01-12,088691,GOLD - COMMODITY EXCHANGE INC.,2016,397565,23309,75124,52700,44470,82908,82816,0.00023140870046407507,0.038731437707831946,-0.130330889288544,0.020701017443688453,0.13056229798900806,2016-01-16 05:00:00+00:00
2016-01-19,088691,GOLD - COMMODITY EXCHANGE INC.,2016,408835,24206,73168,53388,44569,84054,83615,0.0010737828219208238,0.00084237412145674875,-0.11975980530042682,0.021571049445375273,0.12083358812234764,2016-01-23 05:00:00+00:00
