cohort,simulator,entry_index,exit_index,entry_time_api,exit_time_api,entry_time_actual_utc,exit_time_actual_utc,raw_episode_id,entry_price,exit_price,tp_distance,sl_distance,exit_reason,same_bar_both_hit,gross_price,spread_points,spread_observed,extra_cost_points,gross_r,net_r,stress_r,risk_mult,risk_guard_reasons,risk_budget,account_pnl,balance_before,balance_after,positive,trade_id,episode_trade_ordinal,model_id,fold
PAIRED_C0_legacy_label,S5,74961,75025,2018-03-20T01:03:00,2018-03-20T02:07:00,2018-03-20T01:03:00,2018-03-20T02:07:00,10,1317.09,1316.49,1.5,0.6,stop_loss,False,-0.599999999999909,30.0,False,5.0,-0.6666666666665657,-1.0555555555554548,-1.1111111111110101,1.0,,14.0,-14.777777777776366,1000.0,985.2222222222236,False,C0_legacy_label_S5_000000,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,75152,75242,2018-03-20T04:14:00,2018-03-20T05:44:00,2018-03-20T04:14:00,2018-03-20T05:44:00,15,1316.42,1316.19,1.5,0.6,timeout,False,-0.2300000000000182,30.0,False,5.0,-0.2555555555555758,-0.6444444444444648,-0.7000000000000203,1.0,,13.79311111111113,-8.888893827160787,985.2222222222236,976.3333283950628,False,C0_legacy_label_S5_000001,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,108147,108174,2018-04-24T03:43:00,2018-04-24T04:10:00,2018-04-24T03:43:00,2018-04-24T04:10:00,21,1325.6,1325.0,1.5,0.6,stop_loss,False,-0.599999999999909,30.0,False,5.0,-0.6666666666665657,-1.0555555555554548,-1.1111111111110101,1.0,,13.66866659753088,-14.428036964058995,976.3333283950628,961.9052914310039,False,C0_legacy_label_S5_000002,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,109392,109481,2018-04-25T01:30:00,2018-04-25T03:00:00,2018-04-25T01:30:00,2018-04-25T03:00:00,22,1330.55,1331.54,1.5,0.6,timeout,False,0.9900000000000091,30.0,False,5.0,1.1000000000000103,0.7111111111111212,0.6555555555555657,1.0,,13.466674080034055,9.576301568024354,961.9052914310039,971.4815929990283,True,C0_legacy_label_S5_000003,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,109481,109488,2018-04-25T03:00:00,2018-04-25T03:07:00,2018-04-25T03:00:00,2018-04-25T03:07:00,26,1331.54,1330.94,1.5,0.6,stop_loss,False,-0.599999999999909,30.0,False,5.0,-0.6666666666665657,-1.0555555555554548,-1.1111111111110101,1.0,,13.600742301986397,-14.356339096539827,971.4815929990283,957.1252539024885,False,C0_legacy_label_S5_000004,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,112294,112314,2018-04-27T03:55:00,2018-04-27T04:15:00,2018-04-27T03:55:00,2018-04-27T04:15:00,27,1316.85,1316.25,1.5,0.6,stop_loss,False,-0.599999999999909,30.0,False,5.0,-0.6666666666665657,-1.0555555555554548,-1.1111111111110101,1.0,,13.399753554634838,-14.144184307668757,957.1252539024885,942.9810695948197,False,C0_legacy_label_S5_000005,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,112335,112357,2018-04-27T04:36:00,2018-04-27T04:58:00,2018-04-27T04:36:00,2018-04-27T04:58:00,33,1315.96,1317.46,1.5,0.6,take_profit,False,1.5,30.0,False,5.0,1.6666666666666667,1.277777777777778,1.2222222222222225,1.0,live_post_loss_cap,13.201734974327476,16.868883578307333,942.9810695948197,959.849953173127,True,C0_legacy_label_S5_000006,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,119007,119097,2018-05-04T01:24:00,2018-05-04T02:54:00,2018-05-04T01:24:00,2018-05-04T02:54:00,34,1312.79,1312.84,1.5,0.6,timeout,False,0.049999999999954525,30.0,False,5.0,0.05555555555550503,-0.33333333333338394,-0.38888888888893947,1.0,,13.437899344423778,-4.479299781475273,959.849953173127,955.3706533916518,False,C0_legacy_label_S5_000007,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,119124,119128,2018-05-04T03:21:00,2018-05-04T03:25:00,2018-05-04T03:21:00,2018-05-04T03:25:00,41,1312.94,1312.3400000000001,1.5,0.6,stop_loss,False,-0.599999999999909,30.0,False,5.0,-0.6666666666665657,-1.0555555555554548,-1.1111111111110101,1.0,live_post_loss_cap,13.375189147483125,-14.11825521123084,955.3706533916518,941.252398180421,False,C0_legacy_label_S5_000008,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,119175,119214,2018-05-04T04:12:00,2018-05-04T04:51:00,2018-05-04T04:12:00,2018-05-04T04:51:00,42,1311.88,1313.38,1.5,0.6,take_profit,False,1.5,30.0,False,5.0,1.6666666666666667,1.277777777777778,1.2222222222222225,1.0,live_post_loss_cap,13.177533574525894,16.837959567449754,941.252398180421,958.0903577478707,True,C0_legacy_label_S5_000009,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,120367,120456,2018-05-07T01:06:00,2018-05-07T02:36:00,2018-05-07T01:06:00,2018-05-07T02:36:00,53,1314.84,1314.58,1.5,0.6,timeout,False,-0.2599999999999909,30.0,False,5.0,-0.2888888888888788,-0.6777777777777678,-0.7333333333333233,1.0,,13.41326500847019,-9.091212950185218,958.0903577478707,948.9991447976855,False,C0_legacy_label_S5_000010,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,120474,120490,2018-05-07T02:54:00,2018-05-07T03:10:00,2018-05-07T02:54:00,2018-05-07T03:10:00,58,1314.35,1315.85,1.5,0.6,take_profit,False,1.5,30.0,False,5.0,1.6666666666666667,1.277777777777778,1.2222222222222225,1.0,live_post_loss_cap,13.285988027167598,16.976540256936378,948.9991447976855,965.9756850546219,True,C0_legacy_label_S5_000011,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,120525,120553,2018-05-07T03:45:00,2018-05-07T04:13:00,2018-05-07T03:45:00,2018-05-07T04:13:00,61,1316.66,1318.16,1.5,0.6,take_profit,False,1.5,30.0,False,5.0,1.6666666666666667,1.277777777777778,1.2222222222222225,1.0,live_post_loss_cap,13.523659590764707,17.28023169931046,965.9756850546219,983.2559167539323,True,C0_legacy_label_S5_000012,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,120573,120580,2018-05-07T04:33:00,2018-05-07T04:40:00,2018-05-07T04:33:00,2018-05-07T04:40:00,63,1318.55,1317.95,1.5,0.6,stop_loss,False,-0.599999999999909,30.0,False,5.0,-0.6666666666665657,-1.0555555555554548,-1.1111111111110101,1.0,live_post_loss_cap,13.765582834555053,-14.53033743647339,983.2559167539323,968.7255793174589,False,C0_legacy_label_S5_000013,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,120595,120602,2018-05-07T04:55:00,2018-05-07T05:02:00,2018-05-07T04:55:00,2018-05-07T05:02:00,65,1317.69,1317.0900000000001,1.5,0.6,stop_loss,False,-0.599999999999909,30.0,False,5.0,-0.6666666666665657,-1.0555555555554548,-1.1111111111110101,1.0,live_post_loss_cap,13.562158110444425,-14.315611338801082,968.7255793174589,954.4099679786578,False,C0_legacy_label_S5_000014,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,121735,121825,2018-05-08T01:01:00,2018-05-08T02:31:00,2018-05-08T01:01:00,2018-05-08T02:31:00,69,1313.93,1314.42,1.5,0.6,timeout,False,0.4900000000000091,30.0,False,5.0,0.5444444444444546,0.15555555555556563,0.1000000000000101,1.0,,13.361739551701211,2.0784928191536562,954.4099679786578,956.4884607978115,True,C0_legacy_label_S5_000015,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,121825,121847,2018-05-08T02:31:00,2018-05-08T02:53:00,2018-05-08T02:31:00,2018-05-08T02:53:00,73,1314.42,1315.92,1.5,0.6,take_profit,False,1.5,30.0,False,5.0,1.6666666666666667,1.277777777777778,1.2222222222222225,1.0,,13.390838451169362,17.11051579871641,956.4884607978115,973.5989765965279,True,C0_legacy_label_S5_000016,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,121879,121888,2018-05-08T03:25:00,2018-05-08T03:34:00,2018-05-08T03:25:00,2018-05-08T03:34:00,75,1316.12,1315.52,1.5,0.6,stop_loss,False,-0.599999999999909,30.0,False,5.0,-0.6666666666665657,-1.0555555555554548,-1.1111111111110101,1.0,,13.630385672351391,-14.387629320813984,973.5989765965279,959.2113472757139,False,C0_legacy_label_S5_000017,0,C0_legacy_label,2018_2020
PAIRED_C0_legacy_label,S5,121903,121944,2018-05-08T03:49:00,2018-05-08T04:30:00,2018-05-08T03:49:00,2018-05-08T04:30:00,75,1314.85,1314.25,1.5,0.6,stop_loss,False,-0.599999999999909,30.0,False,5.0,-0.6666666666665657,-1.0555555555554548,-1.1111111111110101,0.5,live_post_loss_cap;live_rolling_pf,6.714479430929997,-7.087506065980987,959.2113472757139,952.123841209733,False,C0_legacy_label_S5_000018,1,C0_legacy_label,2018_2020
