model_id,fold,observations,mean,median,p75,p90,p95,p99,max,fraction_ge_65,fraction_ge_70,fraction_ge_75,fraction_ge_80,roc_auc,pr_auc,log_loss,brier
C0_legacy_label,2018_2020,1058080,0.4357188706568796,0.4404691010713577,0.5576749891042709,0.6528934299945831,0.7001519203186035,0.7688093024492264,0.8914554119110107,0.10352336307273552,0.05013231513685166,0.01743629971268713,0.002985596552245577,0.4727760107084874,0.3157446398420167,0.7323325303872734,0.26586029301504477
C0_legacy_label,2021_2022,708197,0.46996166453443594,0.46786198019981384,0.5333285331726074,0.5959843993186951,0.6380900621414184,0.7154322338104251,0.9060209393501282,0.04034894245527727,0.014366059161504496,0.0042304612981981,0.0008782866914149594,0.48372514853776283,0.33933245006428525,0.7041259119390815,0.25486897123651014
C0_legacy_label,2023_2024,708020,0.45518451237778035,0.46018585562705994,0.5309787690639496,0.5845264494419098,0.614315342903137,0.678788266777992,0.8425257802009583,0.02107567582836643,0.005492782689754527,0.001070591226236547,9.604248467557414e-05,0.5004427339096934,0.3832904336119305,0.6983972351184433,0.25213965170321334
C0_legacy_label,pooled,2474297,0.4510899871990473,0.4572354555130005,0.5398977398872375,0.6152304887771606,0.6643917798995971,0.746029133796692,0.9060209393501282,0.061849082789980345,0.027121643036385687,0.008973457915521055,0.001555593366519864,0.4839141877264347,0.33898763607668836,0.7145486061771276,0.2587881793717773
C1_execution_aligned_label,2018_2020,1058080,0.517829970209591,0.5121532082557678,0.5761632025241852,0.6537515223026276,0.6858153969049454,0.732081345915794,0.861997663974762,0.1061252457281113,0.03275839256010887,0.0046688341146227125,0.0003960003024345985,0.5756616373897856,0.41192792354086605,0.702158965464393,0.2541217959485981
C1_execution_aligned_label,2021_2022,708197,0.48120157725028817,0.46034887433052063,0.5450304746627808,0.6327452778816224,0.6664225220680237,0.7019847154617309,0.8226231336593628,0.0734866146001748,0.011515157505609315,0.0002612267490542886,4.236109444123598e-06,0.5950223262919574,0.44835437099748443,0.6706183955445768,0.23877423175632553
C1_execution_aligned_label,2023_2024,708020,0.5088184703886593,0.48740817606449127,0.5809929668903351,0.6715213239192962,0.6969724416732788,0.7245656824111938,0.7916511297225952,0.13417700064969917,0.04368944380102257,0.0014279257648089037,0.0,0.5975436418431332,0.4696097341505501,0.685460692658542,0.24589651671879856
C1_execution_aligned_label,pooled,2474297,0.5047674962576704,0.494555801153183,0.570514440536499,0.6531402349472046,0.685541009902954,0.722646541595459,0.861997663974762,0.10481037644227835,0.02980604187775356,0.0024798963099417733,0.00017055349458856394,0.5853577704618862,0.43714538456985563,0.688353166036312,0.2473753297327163
