match_type,c0_trade_id,c1_trade_id,c0_entry_time,c1_entry_time,entry_delta_minutes,c0_net_r,c1_net_r,outcome_sign_changed
C0_only_unmatched,C0_legacy_label_S5_000015,,2018-05-08T01:01:00,,,0.15555555555556563,,
C0_only_unmatched,C0_legacy_label_S5_000016,,2018-05-08T02:31:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000017,,2018-05-08T03:25:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000018,,2018-05-08T03:49:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000019,,2018-05-08T04:57:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000020,,2018-05-09T01:02:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000021,,2018-05-09T02:30:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000022,,2018-05-09T03:41:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000023,,2018-05-09T04:00:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000024,,2018-05-10T01:01:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000025,,2018-05-10T01:22:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000026,,2018-05-11T01:20:00,,,-0.31111111111092926,,
C0_only_unmatched,C0_legacy_label_S5_000027,,2018-05-11T03:05:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000028,,2018-05-11T04:14:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000029,,2018-05-11T08:21:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000030,,2018-05-11T09:01:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000031,,2018-05-11T09:39:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000032,,2018-05-14T02:37:00,,,1.277777777777778,,
C0_only_unmatched,C0_legacy_label_S5_000033,,2018-05-14T03:40:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000034,,2018-05-16T03:53:00,,,-1.0555555555554548,,
C0_only_unmatched,C0_legacy_label_S5_000035,,2018-05-18T01:02:00,,,-0.7777777777776769,,
C0_only_unmatched,C0_legacy_label_S5_000036,,2018-05-18T03:07:00,,,-1.0555555555554548,,
