model_id,fold,observations,spearman_score_realized_net_r,spearman_score_positive_net_r,top_decile_mean_r,top_decile_pf,top_quintile_mean_r,top_quintile_pf
C0_legacy_label,2018_2020,1058080,-0.11992520294881595,-0.044459507620071066,-0.3651276310210249,0.45700618939867726,-0.35694873739374916,0.47805854275432436
C0_legacy_label,2021_2022,708197,-0.10567764910279022,-0.02698383631754238,-0.334481789637792,0.5275957002605114,-0.3000758219065758,0.5672290289106903
C0_legacy_label,2023_2024,708020,-0.04436726551502797,0.0007450473804480706,-0.18436655659495307,0.7094214863049177,-0.20045847789912322,0.6882695406943959
C0_legacy_label,pooled,2474297,-0.09297437179557828,-0.026638763157344186,-0.3337734413054097,0.5092550818800459,-0.30679835994747745,0.5479981602877236
C1_execution_aligned_label,2018_2020,1058080,0.22608693200648425,0.12356304978147963,-0.17441439602567838,0.6453010376909852,-0.2021494310863518,0.6248824998217949
C1_execution_aligned_label,2021_2022,708197,0.3365827575554652,0.15754779115025858,-0.10550631700084503,0.7757029002711064,-0.1377548749600387,0.7315141345821365
C1_execution_aligned_label,2023_2024,708020,0.326253380668032,0.16414969182033026,-0.09689217233707592,0.7931684171439239,-0.10814556484884427,0.7802047132652153
C1_execution_aligned_label,pooled,2474297,0.29006366478201323,0.1413559596682513,-0.13362516057222326,0.7214634681339611,-0.15795575250743074,0.6956121020778562
