model_id,fold,decile,observations,mean_probability,positive_rate,mean_r,pf
C0_legacy_label,2018_2020,1,105808,0.16231938921953482,0.3507768788749433,-0.30883013614464566,0.521531429617961
C0_legacy_label,2018_2020,2,105808,0.24213113842886091,0.3485464237108725,-0.3067816044722177,0.5302244867865807
C0_legacy_label,2018_2020,3,105808,0.31174695225533633,0.3641690609405716,-0.2964498359052046,0.5396148707878935
C0_legacy_label,2018_2020,4,105808,0.36873294287467534,0.35965144412520794,-0.28794737228238243,0.5581069234573613
C0_legacy_label,2018_2020,5,105808,0.4172664068393667,0.3466562074701346,-0.30032160557011744,0.5512646872779893
C0_legacy_label,2018_2020,6,105808,0.46301412617718146,0.33354755784061696,-0.3144500038077308,0.53959265261905
C0_legacy_label,2018_2020,7,105808,0.5080955330320193,0.31962611522758205,-0.32406587904882844,0.5332659411567843
C0_legacy_label,2018_2020,8,105808,0.5579325471427723,0.3115832451232421,-0.32976247396241626,0.52574899801129
C0_legacy_label,2018_2020,9,105808,0.6172478529554929,0.30078065930742476,-0.34876984376647335,0.4984174274537566
C0_legacy_label,2018_2020,10,105808,0.7087018176435559,0.2988715409042795,-0.3651276310210249,0.45700618939867726
C0_legacy_label,2021_2022,1,70820,0.2987373293590761,0.36755153911324484,-0.25133918197252786,0.6207799478501476
C0_legacy_label,2021_2022,2,70820,0.3694133792387096,0.3651510872634849,-0.2604343677653339,0.6072822663696604
C0_legacy_label,2021_2022,3,70820,0.4043227212471465,0.3590652358090935,-0.2741915767042104,0.5908074513261297
C0_legacy_label,2021_2022,4,70819,0.4316223333820331,0.362967565201429,-0.26371426864766273,0.6037744181042639
C0_legacy_label,2021_2022,5,70820,0.4559749375011449,0.3703191188929681,-0.24778579153629499,0.6250938420103296
C0_legacy_label,2021_2022,6,70820,0.4797483560818294,0.36861056198813896,-0.24244064088185374,0.633424055741614
C0_legacy_label,2021_2022,7,70819,0.5048125688701013,0.356698061254748,-0.2581991941143675,0.6155565178318428
C0_legacy_label,2021_2022,8,70820,0.5336649534990814,0.3463710816153629,-0.26949326036903787,0.6034889614829351
C0_legacy_label,2021_2022,9,70820,0.5710157044179289,0.34583451002541654,-0.2656703399981176,0.6085737380853882
C0_legacy_label,2021_2022,10,70819,0.6503068590188087,0.31114531411062,-0.334481789637792,0.5275957002605114
C0_legacy_label,2023_2024,1,70802,0.271409424332851,0.39377418716985396,-0.1871768850681399,0.7049442320099454
C0_legacy_label,2023_2024,2,70802,0.3363158780839301,0.37843563741137254,-0.2136342036942003,0.6715386197983989
