cohort,simulator,entry_index,exit_index,entry_time_api,exit_time_api,entry_time_actual_utc,exit_time_actual_utc,raw_episode_id,entry_price,exit_price,tp_distance,sl_distance,exit_reason,same_bar_both_hit,gross_price,spread_points,spread_observed,extra_cost_points,gross_r,net_r,stress_r,risk_mult,risk_guard_reasons,risk_budget,account_pnl,balance_before,balance_after,positive,trade_id,episode_trade_ordinal,candidate_id
B0_31_technical,S5,15709,15725,2018-01-17T22:03:00,2018-01-17T22:19:00,2018-01-17T22:03:00,2018-01-17T22:19:00,2,1329.12,1327.414857142857,1.5,1.7051428571428398,stop_loss,False,-1.705142857142846,30.0,False,5.0,-0.8503847249928773,-1.0249358791678576,-1.0498717583357118,1.0,,14.0,-14.349102308350005,1000.0,985.65089769165,False,S5_000000,0,B0_31_technical
B0_31_technical,S5,18589,18600,2018-01-22T01:04:00,2018-01-22T01:15:00,2018-01-22T01:04:00,2018-01-22T01:15:00,3,1334.75,1333.1717142857144,1.5,1.5782857142856561,stop_loss,False,-1.5782857142855846,30.0,False,5.0,-0.8402798904775961,-1.0266200182536895,-1.053240036507417,1.0,,13.7991125676831,-14.16644519611954,985.65089769165,971.4844524955305,False,S5_000001,0,B0_31_technical
B0_31_technical,S5,28243,28333,2018-01-31T01:00:00,2018-01-31T02:30:00,2018-01-31T01:00:00,2018-01-31T02:30:00,6,1338.18,1338.82,1.5404999999999291,1.8959999999999129,timeout,False,0.6399999999998727,30.0,False,5.0,0.29143897996352375,0.13205828779593998,0.10928961748628516,1.0,,13.600782334937428,1.7960960278371034,971.4844524955305,973.2805485233675,True,S5_000002,0,B0_31_technical
B0_31_technical,S5,29508,29519,2018-01-31T22:06:00,2018-01-31T22:17:00,2018-01-31T22:06:00,2018-01-31T22:17:00,9,1343.64,1345.14,1.5,1.7462857142858152,take_profit,False,1.5,30.0,False,5.0,0.7330354649538874,0.561993856464647,0.5375593409661841,1.0,,13.625927679327146,7.65768764441344,973.2805485233675,980.9382361677809,True,S5_000003,0,B0_31_technical
B0_31_technical,S5,32381,32392,2018-02-05T01:00:00,2018-02-05T01:11:00,2018-02-05T01:00:00,2018-02-05T01:11:00,11,1331.84,1329.6571428571428,1.773571428571399,2.1828571428571064,stop_loss,False,-2.182857142857074,30.0,False,5.0,-0.8791714614499277,-1.0201380897583303,-1.0402761795166735,1.0,,13.733135306348933,-14.009694417811483,980.9382361677809,966.9285417499694,False,S5_000004,0,B0_31_technical
B0_31_technical,S5,33768,33858,2018-02-06T01:12:00,2018-02-06T02:42:00,2018-02-06T01:12:00,2018-02-06T02:42:00,15,1337.36,1338.9,4.35964285714284,5.365714285714265,timeout,False,1.540000000000191,30.0,False,5.0,0.2718103883005894,0.21003530005046311,0.20121028744330224,1.0,,13.536999584499572,2.843247769513362,966.9285417499694,969.7717895194828,True,S5_000005,0,B0_31_technical
B0_31_technical,S5,33941,33944,2018-02-06T04:05:00,2018-02-06T04:08:00,2018-02-06T04:05:00,2018-02-06T04:08:00,16,1344.32,1345.8790714285713,1.559071428571404,1.9188571428571128,take_profit,False,1.5590714285713148,30.0,False,5.0,0.7026461498840685,0.544907288179199,0.5223731650785034,1.0,,13.576805053272759,7.398100023716504,969.7717895194828,977.1698895431994,True,S5_000006,0,B0_31_technical
B0_31_technical,S5,33945,34014,2018-02-06T04:09:00,2018-02-06T05:18:00,2018-02-06T04:09:00,2018-02-06T05:18:00,16,1345.61,1343.3082857142856,1.8701428571428034,2.3017142857142194,stop_loss,False,-2.301714285714297,30.0,False,5.0,-0.8846914122556826,-1.0192180979574212,-1.0384361959148123,1.0,,13.680378453604792,-13.943289306820764,977.1698895431994,963.2266002363785,False,S5_000007,1,B0_31_technical
B0_31_technical,S5,39275,39287,2018-02-12T01:00:00,2018-02-12T01:12:00,2018-02-12T01:00:00,2018-02-12T01:12:00,18,1314.87,1316.8311428571428,1.9611428571428684,2.4137142857142995,take_profit,False,1.9611428571429315,30.0,False,5.0,0.7226784586228917,0.5937039376711131,0.5752790061065733,1.0,,13.4851724033093,8.006199956018559,963.2266002363785,971.2328001923971,True,S5_000008,0,B0_31_technical
B0_31_technical,S5,40660,40750,2018-02-13T01:05:00,2018-02-13T02:35:00,2018-02-13T01:05:00,2018-02-13T02:35:00,19,1323.52,1322.56,1.7912142857142823,2.2045714285714246,timeout,False,-0.9600000000000364,30.0,False,5.0,-0.3832991101985093,-0.5230435774583773,-0.5430070727812155,1.0,,13.59725920269356,-7.111959097005682,971.2328001923971,964.1208410953915,False,S5_000009,0,B0_31_technical
B0_31_technical,S5,42040,42130,2018-02-14T01:05:00,2018-02-14T02:35:00,2018-02-14T01:05:00,2018-02-14T02:35:00,20,1329.6,1332.26,5.667071428571405,6.974857142857115,timeout,False,2.660000000000082,30.0,False,5.0,0.3656429188594895,0.31753200848324237,0.3106590212866357,1.0,,13.49769177533548,4.285949179310017,964.1208410953915,968.4067902747015,True,S5_000010,0,B0_31_technical
B0_31_technical,S5,46184,46230,2018-02-19T01:10:00,2018-02-19T01:56:00,2018-02-19T01:10:00,2018-02-19T01:56:00,23,1349.27,1347.7317142857144,1.5,1.5382857142856925,stop_loss,False,-1.538285714285621,30.0,False,5.0,-0.83680447622004,-1.0271992539632813,-1.0543985079266014,1.0,,13.557695063845822,-13.926454255044089,968.4067902747015,954.4803360196574,False,S5_000011,0,B0_31_technical
B0_31_technical,S5,49956,49974,2018-02-21T22:05:00,2018-02-21T22:23:00,2018-02-21T22:05:00,2018-02-21T22:23:00,26,1323.69,1325.2407142857144,1.5507142857142477,1.9085714285713817,take_profit,False,1.5507142857143208,30.0,False,5.0,0.7021345407503542,0.5436610608020973,0.5210219922380607,1.0,,13.362724704275205,7.2647930879326506,954.4803360196574,961.7451291075901,True,S5_000012,0,B0_31_technical
B0_31_technical,S5,52830,52834,2018-02-26T01:00:00,2018-02-26T01:04:00,2018-02-26T01:00:00,2018-02-26T01:04:00,27,1328.04,1329.54,1.5,1.8365714285714212,take_profit,False,1.5,30.0,False,5.0,0.7020593741642175,0.5382455201925668,0.5148435410537595,1.0,,13.46443180750626,7.247170102328549,961.7451291075901,968.9922992099187,True,S5_000013,0,B0_31_technical
B0_31_technical,S5,59731,59758,2018-03-05T01:02:00,2018-03-05T01:29:00,2018-03-05T01:02:00,2018-03-05T01:29:00,29,1323.98,1322.1457142857143,1.5,1.8342857142857352,stop_loss,False,-1.83428571428567,30.0,False,5.0,-0.8594377510039869,-1.0234270414992999,-1.0468540829986304,1.0,,13.56589218893886,-13.88370090822416,968.9922992099187,955.1085983016945,False,S5_000014,0,B0_31_technical
B0_31_technical,S5,77493,77512,2018-03-21T20:16:00,2018-03-21T20:35:00,2018-03-21T20:16:00,2018-03-21T20:35:00,31,1325.89,1322.2900000000002,2.9250000000000003,3.6,stop_loss,False,-3.599999999999909,30.0,False,5.0,-0.9230769230768998,-1.0128205128204895,-1.0256410256410022,1.0,,13.371520376223724,-13.542950124636537,955.1085983016945,941.565648177058,False,S5_000015,0,B0_31_technical
B0_31_technical,S5,80414,80428,2018-03-26T01:00:00,2018-03-26T01:14:00,2018-03-26T01:00:00,2018-03-26T01:14:00,32,1347.1,1348.6,1.5,1.7839999999999887,take_profit,False,1.5,30.0,False,5.0,0.7197696737044186,0.5518234165067208,0.527831094049907,1.0,,13.181919074478813,7.27409161979401,941.565648177058,948.8397397968521,True,S5_000016,0,B0_31_technical
B0_31_technical,S5,85935,86025,2018-04-02T01:03:00,2018-04-02T02:33:00,2018-04-02T01:03:00,2018-04-02T02:33:00,34,1325.36,1327.32,3.615857142857127,4.450285714285695,timeout,False,1.9600000000000364,30.0,False,5.0,0.4126067604956187,0.3389269818356881,0.3284012991699838,1.0,,13.28375635715593,4.502223449571494,948.8397397968521,953.3419632464236,True,S5_000017,0,B0_31_technical
B0_31_technical,S5,220615,220624,2018-08-16T03:31:00,2018-08-16T03:40:00,2018-08-16T03:31:00,2018-08-16T03:40:00,41,1167.8,1166.392,1.5,1.4079999999999668,stop_loss,False,-1.4079999999999018,30.0,False,5.0,-0.824355971896914,-1.0292740046838031,-1.0585480093676445,0.5,live_rolling_pf,6.673393742724965,-6.868750702406358,953.3419632464236,946.4732125440172,False,S5_000018,0,B0_31_technical
B0_31_technical,S5,220639,220646,2018-08-16T03:55:00,2018-08-16T04:02:00,2018-08-16T03:55:00,2018-08-16T04:02:00,43,1165.06,1166.8595714285714,1.7995714285714177,2.2148571428571295,take_profit,False,1.7995714285714257,30.0,False,5.0,0.7155760054533088,0.5764030902067732,0.5565212451715538,0.5,live_post_loss_cap;live_rolling_pf,6.62531248780812,3.8188505915581246,946.4732125440172,950.2920631355753,True,S5_000019,0,B0_31_technical
B0_31_technical,S5,220647,220651,2018-08-16T04:03:00,2018-08-16T04:07:00,2018-08-16T04:03:00,2018-08-16T04:07:00,43,1167.13,1165.538,1.5,1.5920000000000074,stop_loss,False,-1.5920000000000982,30.0,False,5.0,-0.8414376321353552,-1.0264270613108302,-1.0528541226216122,0.5,live_post_loss_cap;live_rolling_pf,6.652044441949027,-6.827838428258781,950.2920631355753,943.4642247073165,False,S5_000020,1,B0_31_technical
B0_31_technical,S5,220666,220670,2018-08-16T04:22:00,2018-08-16T04:26:00,2018-08-16T04:22:00,2018-08-16T04:26:00,44,1166.26,1164.9514285714286,1.5,1.3085714285714338,stop_loss,False,-1.3085714285714403,30.0,False,5.0,-0.8134991119005375,-1.031083481349915,-1.062166962699826,0.5,live_post_loss_cap;live_rolling_pf,6.604249572951216,-6.809532641382229,943.4642247073165,936.6546920659342,False,S5_000021,0,B0_31_technical
B0_31_technical,S5,220685,220687,2018-08-16T04:41:00,2018-08-16T04:43:00,2018-08-16T04:41:00,2018-08-16T04:43:00,45,1168.72,1170.22,1.5,1.4708571428571304,take_profit,False,1.5,30.0,False,5.0,0.8470474346563467,0.6494030332365324,0.6211681187479876,0.5,live_post_loss_cap;live_rolling_pf,6.5565828444615395,4.257864786859935,936.6546920659342,940.9125568527942,True,S5_000022,0,B0_31_technical
