block,record_type,instrument_or_feature,exact_gold_timestamps,fresh_causal_fx_close,fresh_percentage,stale_gt_5m,inside_confirmed_fx_closure,unresolved_source_gap_rows,maximum_unexplained_gap_minutes,maximum_timestamp_mismatch_minutes,first_usable_timestamp,last_usable_timestamp
fold1_train,instrument,EUR/USD,530218,0,0.0,530218,0,530218,0.0,,,
fold1_score,instrument,EUR/USD,1058080,0,0.0,1058080,0,1058080,0.0,,,
fold2_train,instrument,EUR/USD,532563,0,0.0,532563,0,532563,0.0,,,
fold2_score,instrument,EUR/USD,708197,0,0.0,708197,0,708197,0.0,,,
fold3_train,instrument,EUR/USD,533580,0,0.0,533580,0,533580,0.0,,,
fold3_score,instrument,EUR/USD,708020,0,0.0,708020,0,708020,0.0,,,
fold1_train,instrument,GBP/USD,530218,0,0.0,530218,0,530218,0.0,,,
fold1_score,instrument,GBP/USD,1058080,0,0.0,1058080,0,1058080,0.0,,,
fold2_train,instrument,GBP/USD,532563,0,0.0,532563,0,532563,0.0,,,
fold2_score,instrument,GBP/USD,708197,0,0.0,708197,0,708197,0.0,,,
fold3_train,instrument,GBP/USD,533580,0,0.0,533580,0,533580,0.0,,,
fold3_score,instrument,GBP/USD,708020,0,0.0,708020,0,708020,0.0,,,
fold1_train,instrument,USD/JPY,530218,0,0.0,530218,0,530218,0.0,,,
fold1_score,instrument,USD/JPY,1058080,0,0.0,1058080,0,1058080,0.0,,,
fold2_train,instrument,USD/JPY,532563,0,0.0,532563,0,532563,0.0,,,
fold2_score,instrument,USD/JPY,708197,0,0.0,708197,0,708197,0.0,,,
fold3_train,instrument,USD/JPY,533580,0,0.0,533580,0,533580,0.0,,,
fold3_score,instrument,USD/JPY,708020,0,0.0,708020,0,708020,0.0,,,
fold1_train,feature,USD_PRESSURE_1M,530218,0,0.0,530218,0,530218,,,,
fold1_train,feature,USD_PRESSURE_5M,530218,0,0.0,530218,0,530218,,,,
fold1_train,feature,USD_PRESSURE_15M,530218,0,0.0,530218,0,530218,,,,
fold1_train,feature,USD_PRESSURE_60M,530218,0,0.0,530218,0,530218,,,,
fold1_train,feature,USD_DISPERSION_15M,530218,0,0.0,530218,0,530218,,,,
fold1_score,feature,USD_PRESSURE_1M,1058080,0,0.0,1058080,0,1058080,,,,
fold1_score,feature,USD_PRESSURE_5M,1058080,0,0.0,1058080,0,1058080,,,,
fold1_score,feature,USD_PRESSURE_15M,1058080,0,0.0,1058080,0,1058080,,,,
fold1_score,feature,USD_PRESSURE_60M,1058080,0,0.0,1058080,0,1058080,,,,
fold1_score,feature,USD_DISPERSION_15M,1058080,0,0.0,1058080,0,1058080,,,,
fold2_train,feature,USD_PRESSURE_1M,532563,0,0.0,532563,0,532563,,,,
fold2_train,feature,USD_PRESSURE_5M,532563,0,0.0,532563,0,532563,,,,
fold2_train,feature,USD_PRESSURE_15M,532563,0,0.0,532563,0,532563,,,,
fold2_train,feature,USD_PRESSURE_60M,532563,0,0.0,532563,0,532563,,,,
fold2_train,feature,USD_DISPERSION_15M,532563,0,0.0,532563,0,532563,,,,
fold2_score,feature,USD_PRESSURE_1M,708197,0,0.0,708197,0,708197,,,,
fold2_score,feature,USD_PRESSURE_5M,708197,0,0.0,708197,0,708197,,,,
fold2_score,feature,USD_PRESSURE_15M,708197,0,0.0,708197,0,708197,,,,
fold2_score,feature,USD_PRESSURE_60M,708197,0,0.0,708197,0,708197,,,,
fold2_score,feature,USD_DISPERSION_15M,708197,0,0.0,708197,0,708197,,,,
fold3_train,feature,USD_PRESSURE_1M,533580,0,0.0,533580,0,533580,,,,
fold3_train,feature,USD_PRESSURE_5M,533580,0,0.0,533580,0,533580,,,,
fold3_train,feature,USD_PRESSURE_15M,533580,0,0.0,533580,0,533580,,,,
fold3_train,feature,USD_PRESSURE_60M,533580,0,0.0,533580,0,533580,,,,
fold3_train,feature,USD_DISPERSION_15M,533580,0,0.0,533580,0,533580,,,,
fold3_score,feature,USD_PRESSURE_1M,708020,0,0.0,708020,0,708020,,,,
fold3_score,feature,USD_PRESSURE_5M,708020,0,0.0,708020,0,708020,,,,
fold3_score,feature,USD_PRESSURE_15M,708020,0,0.0,708020,0,708020,,,,
fold3_score,feature,USD_PRESSURE_60M,708020,0,0.0,708020,0,708020,,,,
fold3_score,feature,USD_DISPERSION_15M,708020,0,0.0,708020,0,708020,,,,
