url,path,acquisition_utc,status,http_status,bytes,sha256,final_url,error
https://www.bea.gov/news/2015/personal-income-and-outlays-march-2015,sources/664ea322d675a27af2c97551.html,2026-09-05T17:16:56.608436+00:00,ok,200,50580,d22352b386e76e8c24d2ae2bacb8f281827849933352eff36db76614373e9851,https://www.bea.gov/news/2015/personal-income-and-outlays-march-2015,
https://www.bea.gov/news/2015/personal-income-and-outlays-may-2015,sources/86f12a15de332b677bc3b9c1.html,2026-09-05T17:16:56.609440+00:00,ok,200,50737,e00bc3b2c205f88be50547ba90e2ab90a7c414199154b8dd57938393e31a67b0,https://www.bea.gov/news/2015/personal-income-and-outlays-may-2015,
https://www.bea.gov/news/2015/personal-income-and-outlays-november-2015,sources/0aa42839d197ab1442854dc1.html,2026-09-05T17:16:56.647167+00:00,ok,200,50764,40a092fc8b59839cffd02f1461a1bae403c5e92c6458622cf6442a57b021350d,https://www.bea.gov/news/2015/personal-income-and-outlays-november-2015,
https://www.bea.gov/news/2015/personal-income-and-outlays-october-2015,sources/735bb0b1379e400b86617407.html,2026-09-05T17:16:56.647167+00:00,ok,200,50932,d383b2ecfa7b29f59bdcb5ce128d53aa676f289021185c79e86b1974dc6ec274,https://www.bea.gov/news/2015/personal-income-and-outlays-october-2015,
https://www.bea.gov/news/2015/personal-income-and-outlays-september-2015,sources/d4269836bb2b623dae1f765a.html,2026-09-05T17:16:57.482291+00:00,ok,200,50286,9ba61fd838b31156019fe9adcf50bf305d276b4d85681d32637f03443f1f95ff,https://www.bea.gov/news/2015/personal-income-and-outlays-september-2015,
https://www.bea.gov/news/2016/personal-consumption-expenditures-state-2015,sources/65f5108f1e3a0983f0c15f68.html,2026-09-05T17:16:58.225810+00:00,ok,200,52394,c306e71e970434ea063a57da3d90a0b603f0d08b6a8692154c409db6d7d42da3,https://www.bea.gov/news/2016/personal-consumption-expenditures-state-2015,
https://www.bea.gov/news/2016/personal-income-and-outlays-april-2016,sources/fc78b0b5de5fc2735dd75924.html,2026-09-05T17:16:58.303532+00:00,ok,200,51117,3c497e55121ac8e23f21325e1f40d481c6aa3a3890e7299343b52bd6dad0655c,https://www.bea.gov/news/2016/personal-income-and-outlays-april-2016,
https://www.bea.gov/news/2016/personal-income-and-outlays-august-2016,sources/51781149e12ae63ca20dce49.html,2026-09-05T17:16:58.314557+00:00,ok,200,50145,d51d9bee783013d127baa16d0b42967e35dfcbe237c804a783039ec24b185157,https://www.bea.gov/news/2016/personal-income-and-outlays-august-2016,
https://www.bea.gov/news/2016/personal-income-and-outlays-december-2015,sources/d529075758e4e0d8afd64949.html,2026-09-05T17:16:59.679667+00:00,ok,200,50603,67842528313e196d42c216d49b9858a5e11d749604c3cf24866bde629ba2eef1,https://www.bea.gov/news/2016/personal-income-and-outlays-december-2015,
https://www.bea.gov/news/2016/personal-income-and-outlays-february-2016,sources/4a3360b76f9fbf4fedc476dc.html,2026-09-05T17:17:00.053381+00:00,ok,200,50593,fed2f7c740c6f5793891a07593da62253452b1aeef5cac065bebcbb216ca5d64,https://www.bea.gov/news/2016/personal-income-and-outlays-february-2016,
