block,rows,first_broker,last_broker,first_utc,last_utc,timestamp_sha256,utc_timestamp_sha256,constructable_rows
fold1_train,530218,2016-07-01 00:00:00,2017-12-29 19:55:00,2016-06-30T21:00:00+00:00,2017-12-29T17:55:00+00:00,6a7405a13f30c54e6863cf6e80ea1b2e9ee93a90902e5edd37fe4305d471aab6,c58e0c0472b696ec08c39ba9085223da0dacc52d169c67a5965f123351f1d529,530218
fold1_score,1058080,2018-01-02 00:00:00,2020-12-31 18:50:00,2018-01-01T22:00:00+00:00,2020-12-31T16:50:00+00:00,47086d0837f09e86d8874874de302e96e7573efb29236f24720f4a14e0e33c94,6f6d1ac33002553e50f66c92b9bf813229e02ce1e43ad1c2c0fcb86850ccca0e,1058080
fold2_train,532563,2019-07-01 01:00:00,2020-12-31 14:50:00,2019-06-30T22:00:00+00:00,2020-12-31T12:50:00+00:00,691d8d2b01c3829f010ab559b1daa07c1899f8425a5b8b23b3007bf58467df44,d4384b492b494fd41574009134dddf086d72b5a52956dc1102c8af16e5f19fa5,532563
fold2_score,708197,2021-01-04 01:00:00,2022-12-30 23:57:00,2021-01-03T23:00:00+00:00,2022-12-30T21:57:00+00:00,1fc6500ff642dbf7172328f71f13f38712d11f6c0ce873c38524745710c608b8,baad84131fd1d5761f3222bc2805a95edba452ad9e0cc64bf5ff82906b34594a,708197
fold3_train,533580,2021-07-01 01:00:00,2022-12-30 19:57:00,2021-06-30T22:00:00+00:00,2022-12-30T17:57:00+00:00,3cf7f68ba2cf994d23d4db97c2e7ec10b2ed772245e3d4b776272ed20ee06b1b,094671c7b2f1e401c53b40f4b2f5f8fa32727f46854058366cb43570f3e7988c,533580
fold3_score,708020,2023-01-03 01:00:00,2024-12-31 20:00:00,2023-01-02T23:00:00+00:00,2024-12-31T18:00:00+00:00,1451d2069b1d087dc8b4bb7b3ed5840a7b2c03d4adfb548eadc611ed07803449,2117f5f1c0226c1e4b48ade4a77004a6189d2ffa36f11fe7db896a654a69df43,708020
